date;time;bid;ask;last;type;volume
20251107;014806.230;25347;25348;25347;Bid;2
20251107;014806.240;25347;25348;25347;Bid;1
20251107;014811.017;25348;25349;25349;Ask;4
20251107;014811.441;25348;25349;25349;Ask;2
20251107;014811.608;25348;25349;25349;Ask;1
20251107;014813.421;25348;25349;25349;Ask;2
20251107;014813.990;25348;25349;25349;Ask;11
20251107;014813.990;25348;25349;25349;Ask;11
20251107;014814.433;25347;25348;25347;Bid;3
20251107;014815.453;25347;25348;25348;Ask;1
20251107;014822.543;25347;25348;25348;Ask;1
20251107;014829.781;25346;25347;25347;Ask;1
20251107;014829.781;25346;25347;25347;Ask;1
20251107;014833.859;25347;25348;25347;Bid;1
20251107;014833.881;25347;25348;25348;Ask;1
20251107;014837.059;25347;25348;25348;Ask;1
20251107;014837.706;25347;25348;25348;Ask;1
20251107;014846.915;25348;25349;25349;Ask;15
20251107;014905.778;25347;25348;25348;Ask;1
20251107;014906.134;25346;25347;25346;Bid;1
20251107;014907.364;25345;25346;25345;Bid;2
20251107;014907.947;25345;25346;25346;Ask;2
20251107;014908.289;25345;25346;25346;Ask;1
20251107;014908.289;25345;25346;25345;Bid;2
20251107;014908.289;25345;25346;25346;Ask;1
20251107;014908.290;25345;25346;25346;Ask;1
20251107;014909.678;25346;25347;25346;Bid;2
20251107;014909.901;25346;25347;25346;Bid;2
20251107;014910.269;25346;25347;25347;Ask;1
20251107;014910.312;25346;25347;25347;Ask;1
20251107;014910.312;25346;25347;25346;Bid;2
20251107;014910.312;25346;25347;25346;Bid;1
20251107;014911.172;25346;25347;25347;Ask;3
20251107;014915.556;25346;25347;25346;Bid;1
20251107;014915.657;25346;25347;25346;Bid;1
20251107;014919.132;25345;25346;25346;Ask;2
20251107;014919.132;25345;25346;25346;Ask;2
20251107;014921.350;25344;25345;25345;Ask;1
20251107;014921.351;25344;25345;25344;Bid;1
20251107;014921.637;25344;25345;25345;Ask;1
20251107;014921.637;25344;25345;25344;Bid;2
20251107;014923.345;25344;25345;25344;Bid;1
20251107;014923.345;25344;25345;25345;Ask;2
20251107;014923.345;25344;25345;25344;Bid;1
20251107;014924.912;25344;25345;25345;Ask;2
20251107;014924.912;25344;25345;25344;Bid;2
20251107;014925.195;25344;25346;25346;Ask;3
20251107;014925.195;25344;25345;25345;Ask;1
20251107;014925.195;25344;25345;25345;Ask;1
20251107;014925.196;25344;25346;25346;Ask;2
20251107;014925.204;25346;25347;25347;Ask;1
20251107;014925.375;25346;25347;25346;Bid;1
20251107;014926.534;25346;25347;25346;Bid;1
20251107;014926.585;25346;25347;25347;Ask;1
20251107;014926.625;25346;25347;25347;Ask;1
20251107;014931.155;25346;25347;25346;Bid;1
20251107;014932.287;25345;25346;25346;Ask;1
20251107;014932.361;25345;25346;25346;Ask;1
20251107;014932.569;25345;25346;25345;Bid;1
20251107;014932.568;25345;25346;25346;Ask;1
20251107;014933.503;25344;25345;25344;Bid;2
20251107;014936.485;25345;25346;25346;Ask;1
20251107;014937.313;25345;25346;25346;Ask;1
20251107;014938.689;25345;25346;25346;Ask;1
20251107;014939.025;25345;25346;25345;Bid;2
20251107;014939.085;25345;25346;25346;Ask;1
20251107;014939.908;25345;25346;25345;Bid;2
20251107;014957.335;25344;25345;25345;Ask;1
20251107;014957.428;25344;25345;25345;Ask;1
20251107;014958.015;25344;25345;25345;Ask;2
20251107;014959.391;25344;25345;25345;Ask;2
20251107;015006.910;25344;25345;25345;Ask;3
20251107;015007.110;25344;25345;25345;Ask;2
20251107;015019.034;25342;25343;25343;Ask;2
20251107;015019.057;25342;25343;25343;Ask;1
20251107;015023.247;25341;25342;25341;Bid;1
20251107;015023.247;25341;25342;25341;Bid;1
20251107;015023.248;25340;25342;25340;Bid;1
20251107;015023.248;25340;25342;25340;Bid;8
20251107;015023.248;25340;25342;25340;Bid;2
20251107;015023.248;25340;25342;25340;Bid;2
20251107;015023.248;25340;25342;25340;Bid;1
20251107;015023.265;25340;25341;25340;Bid;1
20251107;015023.294;25340;25341;25340;Bid;1
20251107;015024.729;25340;25341;25341;Ask;3
20251107;015026.899;25340;25341;25341;Ask;2
20251107;015027.053;25340;25341;25341;Ask;2
20251107;015027.053;25340;25341;25340;Bid;1
20251107;015029.003;25340;25341;25341;Ask;1
20251107;015029.029;25340;25341;25340;Bid;2
20251107;015029.151;25340;25341;25340;Bid;2
20251107;015029.215;25340;25341;25341;Ask;1
20251107;015031.736;25340;25341;25341;Ask;1
20251107;015031.734;25340;25341;25341;Ask;1
20251107;015031.736;25340;25341;25341;Ask;1
20251107;015031.749;25340;25341;25340;Bid;2
20251107;015032.177;25340;25341;25341;Ask;1
20251107;015032.177;25340;25341;25340;Bid;1
20251107;015032.205;25340;25341;25341;Ask;1
20251107;015032.316;25340;25341;25341;Ask;2
20251107;015032.757;25340;25341;25340;Bid;1
20251107;015034.717;25340;25341;25341;Ask;1
20251107;015037.305;25340;25341;25341;Ask;2
20251107;015037.381;25340;25341;25340;Bid;1
20251107;015055.430;25340;25341;25341;Ask;1
20251107;015102.878;25341;25342;25342;Ask;1
20251107;015109.544;25340;25341;25341;Ask;1
20251107;015113.675;25341;25342;25342;Ask;1
20251107;015114.202;25341;25342;25342;Ask;2
20251107;015121.828;25342;25343;25343;Ask;2
20251107;015121.828;25342;25343;25343;Ask;2
20251107;015124.288;25343;25344;25343;Bid;2
20251107;015124.508;25343;25344;25344;Ask;2
20251107;015124.619;25343;25344;25344;Ask;2
20251107;015125.042;25343;25344;25343;Bid;1
20251107;015127.911;25344;25345;25345;Ask;2
20251107;015129.961;25346;25347;25347;Ask;1
20251107;015130.084;25346;25347;25347;Ask;3
20251107;015130.933;25346;25347;25347;Ask;3
20251107;015131.169;25346;25347;25347;Ask;3
20251107;015132.560;25347;25348;25347;Bid;1
20251107;015132.565;25347;25348;25347;Bid;1
20251107;015133.941;25347;25348;25348;Ask;2
20251107;015134.151;25347;25348;25348;Ask;1
20251107;015136.044;25346;25347;25347;Ask;1
20251107;015140.956;25344;25345;25345;Ask;1
20251107;015145.828;25345;25346;25346;Ask;1
20251107;015146.040;25345;25346;25345;Bid;1
20251107;015146.320;25345;25346;25346;Ask;2
20251107;015146.724;25345;25346;25346;Ask;2
20251107;015146.860;25345;25346;25345;Bid;2
20251107;015147.773;25345;25346;25345;Bid;2
20251107;015147.901;25345;25346;25346;Ask;2
20251107;015148.327;25345;25346;25346;Ask;2
20251107;015148.332;25345;25346;25345;Bid;2
20251107;015148.404;25345;25346;25346;Ask;1
20251107;015151.141;25347;25348;25348;Ask;2
20251107;015151.902;25346;25347;25347;Ask;2
20251107;015151.902;25346;25347;25346;Bid;1
20251107;015151.892;25346;25347;25347;Ask;1
20251107;015151.902;25346;25347;25346;Bid;1
20251107;015152.217;25346;25347;25347;Ask;1
20251107;015152.932;25346;25347;25346;Bid;2
20251107;015153.918;25346;25347;25347;Ask;1
20251107;015155.200;25345;25346;25346;Ask;3
20251107;015155.783;25345;25346;25345;Bid;1
20251107;015205.062;25343;25344;25344;Ask;2
20251107;015205.296;25343;25344;25344;Ask;2
20251107;015207.196;25344;25345;25345;Ask;6
20251107;015207.363;25344;25345;25345;Ask;6
20251107;015207.550;25344;25345;25345;Ask;4
20251107;015208.745;25344;25345;25345;Ask;5
20251107;015208.959;25344;25345;25345;Ask;5
20251107;015209.081;25344;25345;25344;Bid;1
20251107;015209.081;25344;25345;25345;Ask;5
20251107;015209.180;25344;25345;25345;Ask;4
20251107;015209.180;25344;25345;25345;Ask;4
20251107;015222.567;25347;25348;25348;Ask;2
20251107;015222.668;25347;25348;25348;Ask;2
20251107;015230.337;25347;25348;25347;Bid;1
20251107;015230.976;25346;25347;25346;Bid;2
20251107;015230.977;25346;25347;25347;Ask;2
20251107;015230.977;25346;25347;25346;Bid;2
20251107;015232.959;25346;25347;25347;Ask;3
20251107;015232.959;25346;25347;25346;Bid;2
20251107;015232.961;25346;25347;25347;Ask;2
20251107;015236.458;25346;25347;25347;Ask;4
20251107;015236.906;25346;25347;25347;Ask;3
20251107;015236.906;25346;25347;25346;Bid;2
20251107;015236.922;25346;25347;25347;Ask;1
20251107;015236.946;25346;25347;25346;Bid;2
20251107;015237.465;25346;25347;25346;Bid;1
20251107;015237.591;25346;25347;25347;Ask;2
20251107;015240.928;25345;25346;25346;Ask;1
20251107;015240.928;25345;25346;25345;Bid;2
20251107;015242.728;25345;25346;25346;Ask;1
20251107;015243.528;25345;25346;25345;Bid;2
20251107;015245.302;25346;25347;25347;Ask;1
20251107;015245.399;25346;25347;25347;Ask;1
20251107;015245.582;25346;25347;25347;Ask;2
20251107;015245.582;25346;25347;25346;Bid;2
20251107;015245.784;25346;25347;25347;Ask;2
20251107;015245.945;25346;25347;25346;Bid;2
20251107;015246.889;25346;25347;25346;Bid;2
20251107;015250.874;25346;25347;25346;Bid;1
20251107;015251.060;25346;25347;25347;Ask;1
20251107;015251.865;25346;25347;25347;Ask;1
20251107;015252.011;25346;25347;25346;Bid;1
20251107;015254.922;25346;25347;25347;Ask;1
20251107;015257.434;25347;25348;25347;Bid;1
20251107;015258.358;25346;25347;25346;Bid;1
20251107;015302.080;25346;25347;25346;Bid;1
20251107;015302.233;25346;25347;25347;Ask;2
20251107;015305.452;25346;25347;25347;Ask;2
20251107;015305.452;25346;25347;25347;Ask;2
20251107;015306.152;25347;25348;25347;Bid;1
20251107;015308.503;25346;25348;25346;Bid;3
20251107;015308.503;25346;25348;25346;Bid;3
20251107;015335.289;25347;25348;25348;Ask;2
20251107;015335.369;25347;25348;25348;Ask;2
20251107;015335.745;25347;25348;25348;Ask;2
20251107;015337.152;25347;25348;25347;Bid;1
20251107;015338.213;25347;25348;25347;Bid;4
20251107;015338.213;25347;25348;25347;Bid;4
20251107;015339.416;25347;25348;25348;Ask;1
20251107;015340.118;25347;25348;25348;Ask;1
20251107;015342.074;25347;25348;25347;Bid;2
20251107;015346.822;25347;25348;25348;Ask;1
20251107;015347.389;25347;25348;25348;Ask;1
20251107;015348.639;25347;25348;25348;Ask;1
20251107;015351.689;25347;25348;25348;Ask;1
20251107;015352.427;25347;25348;25347;Bid;1
20251107;015352.627;25347;25348;25347;Bid;2
20251107;015353.465;25347;25348;25348;Ask;1
20251107;015400.405;25348;25349;25348;Bid;1
20251107;015407.383;25347;25348;25348;Ask;1
20251107;015407.453;25347;25348;25348;Ask;1
20251107;015412.586;25348;25349;25349;Ask;1
20251107;015413.776;25348;25349;25349;Ask;1
20251107;015414.014;25348;25349;25349;Ask;1
20251107;015425.964;25348;25349;25349;Ask;1
20251107;015425.964;25348;25349;25349;Ask;1
20251107;015430.355;25348;25349;25349;Ask;1
20251107;015431.797;25347;25349;25349;Ask;1
20251107;015432.095;25347;25348;25348;Ask;1
20251107;015432.214;25347;25348;25348;Ask;1
20251107;015433.128;25347;25348;25348;Ask;1
20251107;015434.215;25347;25348;25347;Bid;5
20251107;015434.922;25347;25348;25348;Ask;2
20251107;015436.156;25347;25348;25348;Ask;3
20251107;015436.157;25347;25348;25348;Ask;1
20251107;015436.936;25348;25349;25349;Ask;1
20251107;015452.275;25348;25349;25349;Ask;1
