date;time;bid;ask;last;type;volume
20251107;022040.965;25282.00;25283.00;25282.00;Bid;1
20251107;022041.190;25282.00;25283.00;25282.00;Bid;1
20251107;022041.831;25282.00;25283.00;25283.00;Ask;2
20251107;022041.991;25282.00;25283.00;25283.00;Ask;1
20251107;022042.871;25281.00;25282.00;25281.00;Bid;1
20251107;022043.494;25281.00;25282.00;25282.00;Ask;3
20251107;022043.494;25281.00;25282.00;25281.00;Bid;1
20251107;022043.543;25280.00;25281.00;25280.00;Bid;3
20251107;022043.616;25280.00;25282.00;25282.00;Ask;1
20251107;022043.613;25280.00;25281.00;25280.00;Bid;12
20251107;022043.613;25280.00;25281.00;25281.00;Ask;1
20251107;022043.616;25280.00;25282.00;25282.00;Ask;1
20251107;022044.256;25280.00;25281.00;25280.00;Bid;12
20251107;022044.618;25280.00;25281.00;25281.00;Ask;2
20251107;022044.875;25280.00;25281.00;25281.00;Ask;2
20251107;022044.917;25280.00;25281.00;25281.00;Ask;1
20251107;022044.995;25280.00;25281.00;25281.00;Ask;1
20251107;022046.678;25280.00;25281.00;25280.00;Bid;13
20251107;022046.785;25280.00;25281.00;25281.00;Ask;1
20251107;022046.896;25280.00;25281.00;25281.00;Ask;1
20251107;022047.409;25280.00;25281.00;25281.00;Ask;1
20251107;022047.409;25280.00;25281.00;25281.00;Ask;1
20251107;022047.795;25280.00;25281.00;25280.00;Bid;13
20251107;022047.995;25279.00;25280.00;25279.00;Bid;2
20251107;022047.995;25279.00;25280.00;25280.00;Ask;1
20251107;022047.996;25279.00;25280.00;25279.00;Bid;1
20251107;022047.996;25279.00;25280.00;25279.00;Bid;1
20251107;022048.277;25278.00;25279.00;25279.00;Ask;1
20251107;022048.266;25278.00;25279.00;25279.00;Ask;1
20251107;022048.502;25278.00;25279.00;25279.00;Ask;2
20251107;022048.529;25278.00;25279.00;25279.00;Ask;1
20251107;022049.274;25277.00;25278.00;25277.00;Bid;1
20251107;022049.341;25277.00;25278.00;25277.00;Bid;1
20251107;022049.881;25277.00;25279.00;25279.00;Ask;1
20251107;022050.111;25277.00;25278.00;25277.00;Bid;1
20251107;022050.474;25277.00;25278.00;25277.00;Bid;1
20251107;022052.062;25276.00;25278.00;25278.00;Ask;2
20251107;022052.062;25276.00;25278.00;25277.00;Bid;1
20251107;022052.062;25277.00;25278.00;25277.00;Bid;1
20251107;022052.159;25276.00;25277.00;25277.00;Ask;2
20251107;022052.159;25276.00;25277.00;25277.00;Ask;2
20251107;022052.505;25275.00;25276.00;25276.00;Ask;1
20251107;022052.505;25275.00;25276.00;25275.00;Bid;3
20251107;022053.038;25275.00;25276.00;25275.00;Bid;1
20251107;022053.078;25275.00;25276.00;25276.00;Ask;2
20251107;022053.456;25275.00;25276.00;25275.00;Bid;1
20251107;022053.555;25274.00;25275.00;25274.00;Bid;2
20251107;022053.555;25274.00;25275.00;25275.00;Ask;1
20251107;022054.746;25273.00;25274.00;25274.00;Ask;1
20251107;022100.043;25270.00;25272.00;25270.00;Bid;1
20251107;022100.043;25270.00;25272.00;25270.00;Bid;1
20251107;022100.043;25270.00;25272.00;25270.00;Bid;4
20251107;022100.043;25270.00;25272.00;25270.00;Bid;6
20251107;022100.043;25270.00;25272.00;25270.00;Bid;2
20251107;022100.043;25270.00;25272.00;25270.00;Bid;3
20251107;022100.043;25270.00;25272.00;25270.00;Bid;1
20251107;022100.043;25270.00;25272.00;25270.00;Bid;2
20251107;022100.043;25270.00;25272.00;25270.00;Bid;1
20251107;022100.043;25270.00;25272.00;25270.00;Bid;2
20251107;022100.044;25270.00;25272.00;25270.00;Bid;2
20251107;022100.044;25270.00;25272.00;25270.00;Bid;1
20251107;022100.044;25270.00;25272.00;25270.00;Bid;2
20251107;022100.044;25270.00;25272.00;25270.00;Bid;2
20251107;022100.044;25270.00;25272.00;25270.00;Bid;1
20251107;022100.044;25270.00;25272.00;25270.00;Bid;1
20251107;022100.044;25270.00;25272.00;25270.00;Bid;1
20251107;022100.044;25270.00;25272.00;25270.00;Bid;1
20251107;022100.047;25270.00;25271.00;25270.00;Bid;1
20251107;022100.077;25269.00;25270.00;25269.00;Bid;1
20251107;022100.090;25267.00;25268.00;25267.00;Bid;4
20251107;022100.090;25267.00;25268.00;25267.00;Bid;1
20251107;022100.090;25267.00;25268.00;25267.00;Bid;3
20251107;022100.090;25267.00;25268.00;25267.00;Bid;1
20251107;022100.092;25267.00;25268.00;25268.00;Ask;3
20251107;022100.092;25267.00;25268.00;25267.00;Bid;2
20251107;022100.092;25267.00;25268.00;25267.00;Bid;1
20251107;022100.937;25268.00;25269.00;25269.00;Ask;2
20251107;022101.938;25268.00;25269.00;25268.00;Bid;1
20251107;022102.014;25268.00;25269.00;25269.00;Ask;2
20251107;022102.105;25268.00;25269.00;25269.00;Ask;1
20251107;022102.105;25268.00;25269.00;25268.00;Bid;2
20251107;022102.105;25268.00;25269.00;25269.00;Ask;1
20251107;022102.386;25270.00;25271.00;25271.00;Ask;1
20251107;022102.386;25270.00;25271.00;25270.00;Bid;2
20251107;022102.409;25270.00;25272.00;25272.00;Ask;1
20251107;022102.409;25270.00;25272.00;25271.00;Bid;1
20251107;022102.409;25270.00;25272.00;25272.00;Ask;1
20251107;022102.409;25270.00;25272.00;25271.00;Bid;1
20251107;022102.527;25271.00;25272.00;25272.00;Ask;2
20251107;022102.629;25271.00;25272.00;25272.00;Ask;5
20251107;022102.630;25271.00;25272.00;25271.00;Bid;2
20251107;022102.869;25268.00;25269.00;25268.00;Bid;1
20251107;022103.015;25268.00;25270.00;25270.00;Ask;1
20251107;022104.917;25267.00;25269.00;25269.00;Ask;1
20251107;022104.917;25267.00;25269.00;25269.00;Ask;1
20251107;022105.379;25267.00;25268.00;25267.00;Bid;2
20251107;022105.406;25267.00;25268.00;25267.00;Bid;1
