date;time;bid;ask;price;volume;side;shape
20251107;060000.012;;25250.50;25250.50;1;ASK;
20251107;060000.012;25249.50;;25249.50;1;BID;
20251107;060000.012;;25250.25;25250.25;1;ASK;
20251107;060000.012;25248.50;;25248.50;4;BID;
20251107;060000.012;;25250.00;25250.00;1;ASK;
20251107;060000.012;25248.50;;25248.50;3;BID;
20251107;060000.012;25248.50;;25248.50;4;BID;
20251107;060000.012;25248.50;;25248.50;3;BID;
20251107;060000.012;25248.75;;25248.75;1;BID;
20251107;060000.012;;25250.25;25250.25;1;ASK;
20251107;060000.012;25248.75;;25248.75;2;BID;
20251107;060000.012;25248.75;;25248.75;3;BID;
20251107;060000.012;25249.00;;25249.00;1;BID;
20251107;060000.028;;25250.25;25250.25;2;ASK;
20251107;060000.028;;25250.00;25250.00;1;ASK;
20251107;060000.028;;25249.75;25249.75;1;ASK;
20251107;060000.028;25248.75;;25248.75;2;BID;
20251107;060000.028;;25250.00;25250.00;1;ASK;
20251107;060000.028;;25249.75;25249.75;1;ASK;
20251107;060000.028;25249.00;;25249.00;1;BID;
20251107;060000.028;;25250.00;25250.00;1;ASK;
20251107;060000.028;;25249.75;25249.75;1;ASK;
20251107;060000.080;25248.75;;25248.75;2;BID;
20251107;060000.084;25249.00;;25249.00;1;BID;
20251107;060000.084;;25250.00;25250.00;1;ASK;
20251107;060000.148;;25249.75;25249.75;1;ASK;
20251107;060000.148;25248.75;;25248.75;2;BID;
20251107;060000.148;;25249.50;25249.50;1;ASK;
20251107;060000.148;25248.75;;25248.75;1;BID;
20251107;060000.148;25248.50;;25248.50;4;BID;
20251107;060000.148;25248.50;;25248.50;3;BID;
20251107;060000.148;25248.50;;25248.50;2;BID;
20251107;060000.152;25248.75;;25248.75;1;BID;
20251107;060000.152;;25249.75;25249.75;1;ASK;
20251107;060000.156;25248.50;;25248.50;2;BID;
20251107;060000.156;;25249.50;25249.50;1;ASK;
20251107;060000.156;;25249.25;25249.25;1;ASK;
20251107;060000.176;25248.75;;25248.75;1;BID;
20251107;060000.176;;25249.75;25249.75;1;ASK;
20251107;060000.176;;25249.75;25249.75;2;ASK;
20251107;060000.180;;25249.50;25249.50;1;ASK;
20251107;060000.180;25248.50;;25248.50;2;BID;
20251107;060000.184;;25249.25;25249.25;1;ASK;
20251107;060000.188;25248.50;;25248.50;1;BID;
20251107;060000.188;;25249.50;25249.50;1;ASK;
20251107;060000.240;25248.50;;25248.50;2;BID;
20251107;060000.240;25248.75;;25248.75;1;BID;
20251107;060000.240;;25249.75;25249.75;1;ASK;
20251107;060000.248;;25249.50;25249.50;1;ASK;
20251107;060000.248;25248.50;;25248.50;1;BID;
20251107;060000.248;;25249.25;25249.25;1;ASK;
20251107;060000.260;25248.75;;25248.75;1;BID;
20251107;060000.260;;25249.50;25249.50;1;ASK;
20251107;060000.260;;25249.75;25249.75;1;ASK;
20251107;060000.272;;25249.75;25249.75;2;ASK;
20251107;060000.272;;25249.50;25249.50;1;ASK;
20251107;060000.272;25248.50;;25248.50;1;BID;
20251107;060000.272;;25249.50;25249.50;2;ASK;
20251107;060000.272;;25249.25;25249.25;1;ASK;
20251107;060000.344;25248.75;;25248.75;1;BID;
20251107;060000.344;;25249.75;25249.75;1;ASK;
20251107;060000.344;25248.50;;25248.50;2;BID;
20251107;060000.344;25248.50;;25248.50;1;BID;
20251107;060000.344;;25249.50;25249.50;1;ASK;
20251107;060000.344;25248.50;;25248.50;2;BID;
20251107;060000.348;;25249.25;25249.25;1;ASK;
20251107;060000.372;25248.75;;25248.75;1;BID;
20251107;060000.372;;25249.50;25249.50;1;ASK;
20251107;060000.372;;25249.75;25249.75;1;ASK;
20251107;060000.392;25248.50;;25248.50;2;BID;
20251107;060000.392;;25249.50;25249.50;1;ASK;
20251107;060000.404;;25249.50;25249.50;2;ASK;
20251107;060000.424;25248.75;;25248.75;1;BID;
20251107;060000.424;;25249.50;25249.50;1;ASK;
20251107;060000.424;25249.00;;25249.00;1;BID;
20251107;060000.424;25248.75;;25248.75;1;BID;
20251107;060000.428;25248.50;;25248.50;3;BID;
20251107;060000.436;25248.75;;25248.75;1;BID;
20251107;060000.520;25249.00;;25249.00;1;BID;
20251107;060000.520;25248.75;;25248.75;1;BID;
20251107;060000.524;25248.50;;25248.50;4;BID;
20251107;060000.524;25248.50;;25248.50;3;BID;
20251107;060000.524;25248.75;;25248.75;1;BID;
20251107;060000.544;25249.00;;25249.00;1;BID;
20251107;060000.636;25248.75;;25248.75;1;BID;
20251107;060000.752;25249.00;;25249.00;1;BID;
20251107;060000.772;25248.75;;25248.75;2;BID;
20251107;060000.780;25248.75;;25248.75;1;BID;
20251107;060000.780;25248.50;;25248.50;4;BID;
20251107;060000.780;25248.50;;25248.50;3;BID;
20251107;060000.780;25248.50;;25248.50;2;BID;
20251107;060000.784;25248.75;;25248.75;1;BID;
20251107;060000.812;;25249.25;25249.25;1;ASK;
20251107;060000.812;25248.50;;25248.50;2;BID;
20251107;060000.812;25248.50;;25248.50;1;BID;
20251107;060000.812;;25249.25;25249.25;2;ASK;
20251107;060000.876;;25249.00;25249.00;1;ASK;
20251107;060000.936;;25249.00;25249.00;2;ASK;
20251107;060000.960;25248.50;;25248.50;1;BID;
20251107;060000.960;25247.75;;25247.75;3;BID;
20251107;060000.960;;25248.75;25248.75;1;ASK;
20251107;060000.960;25247.75;;25247.75;2;BID;
20251107;060000.960;25247.75;;25247.75;1;BID;
20251107;060000.960;25247.75;;25247.75;2;BID;
20251107;060000.964;25248.00;;25248.00;1;BID;
20251107;060000.964;25247.75;;25247.75;2;BID;
20251107;060000.964;;25249.00;25249.00;2;ASK;
20251107;060000.964;25248.00;;25248.00;1;BID;
20251107;060001.056;25248.00;;25248.00;1;BID;
20251107;060001.056;25247.75;;25247.75;1;BID;
20251107;060001.056;25247.75;;25247.75;1;BID;
20251107;060001.056;;25248.75;25248.75;1;ASK;
20251107;060001.060;25247.50;;25247.50;2;BID;
20251107;060001.060;;25248.75;25248.75;2;ASK;
20251107;060001.060;;25248.75;25248.75;1;ASK;
20251107;060001.060;25247.75;;25247.75;1;BID;
20251107;060001.060;25248.00;;25248.00;1;BID;
20251107;060001.068;25247.75;;25247.75;1;BID;
20251107;060001.072;25247.75;;25247.75;1;BID;
20251107;060001.072;25247.50;;25247.50;3;BID;
20251107;060001.072;;25248.50;25248.50;1;ASK;
20251107;060001.072;25247.50;;25247.50;2;BID;
20251107;060001.072;25247.50;;25247.50;3;BID;
20251107;060001.072;25247.75;;25247.75;1;BID;
20251107;060001.072;;25248.75;25248.75;1;ASK;
20251107;060001.072;25247.75;;25247.75;2;BID;
20251107;060001.128;25248.00;;25248.00;1;BID;
20251107;060001.132;25247.75;;25247.75;1;BID;
20251107;060001.132;25247.75;;25247.75;2;BID;
20251107;060001.252;25248.00;;25248.00;1;BID;
20251107;060001.292;25247.75;;25247.75;2;BID;
20251107;060001.304;25248.00;;25248.00;1;BID;
