date;time;bid;ask;price;volume;side;shape;order_type;entry_price;exit_price;exit_tag
20251107;084515.624;;25336.50;25336.50;1;ASK;;;;;
20251107;084515.624;;25336.50;25336.50;4;ASK;;;;;
20251107;084515.624;;25336.50;25336.50;1;ASK;;;;;
20251107;084515.624;;25336.50;25336.50;3;ASK;;;;;
20251107;084515.624;25335.75;;25335.75;3;BID;;;;;
20251107;084515.624;;25336.50;25336.50;1;ASK;;;;;
20251107;084515.624;;25336.50;25336.50;2;ASK;;;;;
20251107;084515.624;;25336.50;25336.50;1;ASK;;;;;
20251107;084515.624;;25336.50;25336.50;1;ASK;;;;;
20251107;084515.628;25336.00;;25336.00;1;BID;;;;;
20251107;084515.628;25336.00;;25336.00;2;BID;;;;;
20251107;084515.628;;25336.50;25336.50;1;ASK;;;;;
20251107;084515.628;;25337.00;25337.00;3;ASK;;;;;
20251107;084515.628;;25337.00;25337.00;2;ASK;;;;;
20251107;084515.628;25336.00;;25336.00;3;BID;;;;;
20251107;084515.628;25336.25;;25336.25;1;BID;;;;;
20251107;084515.632;;25337.00;25337.00;1;ASK;;;;;
20251107;084515.640;;25337.00;25337.00;2;ASK;;;;;
20251107;084515.640;25336.25;;25336.25;2;BID;;;;;
20251107;084515.640;25336.25;;25336.25;1;BID;;;;;
20251107;084515.640;;25336.75;25336.75;1;ASK;;;;;
20251107;084515.640;25336.00;;25336.00;1;BID;;;;;
20251107;084515.640;;25337.00;25337.00;2;ASK;;;;;
20251107;084515.640;;25337.00;25337.00;1;ASK;;;;;
20251107;084515.640;25335.75;;25335.75;2;BID;;;;;
20251107;084515.640;25336.00;;25336.00;1;BID;;;;;
20251107;084515.640;;25336.75;25336.75;1;ASK;;;;;
20251107;084515.640;;25337.00;25337.00;1;ASK;;;;;
20251107;084515.644;25335.75;;25335.75;2;BID;;;;;
20251107;084515.648;;25337.00;25337.00;2;ASK;;;;;
20251107;084515.648;;25336.75;25336.75;1;ASK;;;;;
20251107;084515.664;;25336.75;25336.75;2;ASK;;;;;
20251107;084515.664;;25336.50;25336.50;1;ASK;;;;;
20251107;084515.664;25335.75;;25335.75;1;BID;;;;;
20251107;084515.664;25335.75;;25335.75;2;BID;;;;;
20251107;084515.664;25336.00;;25336.00;1;BID;;;;;
20251107;084515.664;;25336.75;25336.75;1;ASK;;;;;
20251107;084515.664;25335.75;;25335.75;3;BID;;;;;
20251107;084515.664;25335.75;;25335.75;2;BID;;;;;
20251107;084515.664;;25337.00;25337.00;2;ASK;;;;;
20251107;084515.664;25336.00;;25336.00;1;BID;;;;;
20251107;084515.664;;25337.00;25337.00;1;ASK;;;;;
20251107;084515.664;25336.25;;25336.25;1;BID;;;;;
20251107;084515.680;25336.50;;25336.50;1;BID;;;;;
20251107;084515.684;25336.25;;25336.25;1;BID;;;;;
20251107;084515.684;25336.25;;25336.25;2;BID;;;;;
20251107;084515.744;25336.50;;25336.50;1;BID;;;;;
20251107;084515.764;25336.25;;25336.25;2;BID;;;;;
20251107;084515.880;25336.25;;25336.25;3;BID;;;;;
20251107;084515.940;25336.25;;25336.25;4;BID;;;;;
20251107;084515.940;25336.50;;25336.50;1;BID;;;;;
20251107;084515.940;;25337.00;25337.00;1;ASK;;;;;
20251107;084515.940;;25337.25;25337.25;1;ASK;;;;;
20251107;084515.940;25336.75;;25336.75;1;BID;;;;;
20251107;084515.944;25337.00;;25337.00;1;BID;;;;;
20251107;084515.944;;25337.25;25337.25;1;ASK;;;;;
20251107;084515.944;;25337.75;25337.75;2;ASK;;;;;
20251107;084515.944;25337.00;;25337.00;1;BID;;;;;
20251107;084515.944;25336.75;;25336.75;1;BID;;;;;
20251107;084515.944;;25337.75;25337.75;1;ASK;;;;;
20251107;084515.944;25336.50;;25336.50;2;BID;;;;;
20251107;084515.944;;25338.00;25338.00;5;ASK;;;;;
20251107;084515.944;;25338.00;25338.00;4;ASK;;;;;
20251107;084515.944;;25337.50;25337.50;1;ASK;;;;;
20251107;084515.944;25336.75;;25336.75;1;BID;;;;;
20251107;084515.944;;25337.50;25337.50;2;ASK;;;;;
20251107;084515.944;25336.75;;25336.75;2;BID;;;;;
20251107;084515.944;;25337.50;25337.50;1;ASK;;;;;
20251107;084515.944;25336.75;;25336.75;1;BID;;;;;
20251107;084515.968;25336.50;;25336.50;3;BID;;;;;
20251107;084515.968;25336.75;;25336.75;1;BID;;;;;
20251107;084515.968;25336.50;;25336.50;2;BID;;;;;
20251107;084515.972;25336.75;;25336.75;1;BID;;;;;
20251107;084516.076;25336.75;;25336.75;2;BID;;;;;
20251107;084516.076;25336.75;;25336.75;1;BID;;;;;
20251107;084516.076;;25337.75;25337.75;1;ASK;;;;;
20251107;084516.076;25336.50;;25336.50;3;BID;;;;;
20251107;084516.076;;25337.75;25337.75;2;ASK;;;;;
20251107;084516.076;25336.50;;25336.50;2;BID;;;;;
20251107;084516.076;;25337.50;25337.50;1;ASK;;;;;
20251107;084516.076;25336.75;;25336.75;1;BID;;;;;
20251107;084516.076;;25337.75;25337.75;2;ASK;;;;;
20251107;084516.180;25336.75;;25336.75;2;BID;;;;;
20251107;084516.592;;25337.50;25337.50;1;ASK;;;;;
20251107;084516.592;25336.75;;25336.75;1;BID;;;;;
20251107;084516.592;25336.50;;25336.50;3;BID;;;;;
20251107;084516.592;25336.50;;25336.50;2;BID;;;;;
20251107;084516.592;25336.50;;25336.50;1;BID;;;;;
20251107;084516.592;;25337.25;25337.25;1;ASK;;;;;
20251107;084516.592;25336.25;;25336.25;4;BID;;;;;
20251107;084516.592;25336.25;;25336.25;3;BID;;;;;
20251107;084516.664;25336.50;;25336.50;1;BID;;;;;
20251107;084516.668;25336.25;;25336.25;3;BID;;;;;
20251107;084516.800;25336.25;;25336.25;1;BID;;;;;
20251107;084516.800;25336.25;;25336.25;2;BID;;;;;
20251107;084516.800;;25337.00;25337.00;1;ASK;;;;;
20251107;084516.800;;25337.00;25337.00;2;ASK;;;;;
20251107;084516.800;25336.25;;25336.25;3;BID;;;;;
20251107;084516.800;;25337.00;25337.00;1;ASK;;;;;
