date;time;bid;ask;last;volume
20251107;021812.841;25301,5;25302,5;25301;1
20251107;021812.841;25301,5;25302,5;25301,25;1
20251107;021812.841;25301,5;25302,5;25301,5;1
20251107;021812.841;25301,5;25302,5;25301,5;1
20251107;021812.841;25301,5;25302,5;25301,75;1
20251107;021812.841;25301,5;25302,5;25301,75;1
20251107;021812.841;25301,5;25302,5;25302;1
20251107;021813.331;25303;25304,25;25302,5;1
20251107;021813.331;25303;25304,25;25302,75;1
20251107;021813.331;25303;25304,25;25303;1
20251107;021813.331;25303;25304,25;25303;1
20251107;021813.331;25303;25304,25;25303,25;1
20251107;021813.331;25303;25304,25;25303,25;1
20251107;021813.517;25302,75;25304,25;25303;1
20251107;021814.150;25303;25303,75;25304;1
20251107;021814.151;25303;25303,75;25303,75;1
20251107;021814.173;25302,75;25304,25;25304,75;1
20251107;021814.196;25302,75;25304,25;25304;1
20251107;021814.405;25302,75;25304;25304;1
20251107;021815.688;25303;25304,5;25304,75;1
20251107;021815.688;25303;25304,5;25304,75;1
20251107;021815.695;25303;25304,5;25304,25;1
20251107;021815.696;25303;25304,5;25304;1
20251107;021816.355;25302,75;25303,75;25302,75;1
20251107;021816.443;25303,25;25304,5;25303,5;1
20251107;021816.443;25303,25;25304,5;25303,5;1
20251107;021816.443;25303,25;25304,5;25303,75;1
20251107;021816.572;25304,25;25306,25;25304,5;1
20251107;021816.572;25304,25;25306,25;25304,5;1
20251107;021816.572;25304,25;25306,25;25304,75;1
20251107;021816.572;25304,25;25306,25;25304,75;1
20251107;021816.572;25304,25;25306,25;25304,75;1
20251107;021816.572;25304,25;25306,25;25305;1
20251107;021816.572;25304,25;25306,25;25305;1
20251107;021816.572;25304,25;25306,25;25305;1
20251107;021818.795;25305,25;25306,5;25306,5;1
20251107;021818.820;25305,25;25306,5;25306,25;1
20251107;021819.489;25304;25305,25;25304,75;1
20251107;021819.863;25304,5;25306;25304,5;1
20251107;021819.863;25304,5;25306;25305,5;1
20251107;021819.863;25304,5;25306;25305,5;1
20251107;021820.328;25303,25;25305;25305;1
20251107;021820.350;25303,25;25305;25304,25;1
20251107;021820.350;25303,25;25305;25304;1
20251107;021821.266;25302,5;25304,25;25302,5;1
20251107;021821.355;25301,5;25303;25302,25;1
20251107;021823.330;25299,5;25300,75;25300,5;1
20251107;021823.398;25299;25300,5;25299,5;1
20251107;021824.208;25298,5;25299,5;25299;1
20251107;021824.689;25298;25299,5;25298,75;1
20251107;021825.066;25299;25300,25;25299,5;1
20251107;021825.066;25299;25300,25;25299,5;1
20251107;021825.066;25299;25300,25;25299,75;1
20251107;021825.066;25299;25300,25;25300;1
20251107;021825.068;25299;25300,25;25300;1
20251107;021825.493;25298,75;25300;25299;1
20251107;021826.868;25298;25299;25299;1
20251107;021827.757;25297,75;25299,25;25298,75;1
20251107;021828.019;25297;25298,25;25297,75;1
20251107;021828.069;25296,75;25297,75;25298,25;1
20251107;021828.204;25297;25298,5;25297,75;1
20251107;021828.204;25297;25298,5;25298;1
20251107;021828.472;25298;25298,25;25298;1
20251107;021828.858;25297,25;25298,25;25298,25;1
20251107;021829.026;25297;25298,5;25298;1
20251107;021830.176;25297,5;25299,25;25297,5;1
20251107;021831.438;25297,5;25299;25297,5;1
20251107;021831.957;25296,75;25298,25;25298;1
20251107;021833.228;25296,25;25298;25297;1
20251107;021833.228;25296,25;25298;25296,75;1
20251107;021833.230;25296,25;25298;25296,75;1
20251107;021833.232;25296,25;25298;25296,25;1
20251107;021834.397;25295,25;25297;25295,75;1
20251107;021834.397;25295,25;25297;25295,5;1
20251107;021834.759;25294;25295,5;25295;1
20251107;021834.759;25294;25295,5;25295;1
20251107;021834.759;25294;25295,5;25295;1
20251107;021834.759;25294;25295,5;25295;1
20251107;021834.872;25293,75;25294,75;25294;1
20251107;021835.154;25292,75;25294;25293;1
20251107;021835.491;25291,5;25293;25293;1
20251107;021835.491;25291,5;25293;25293;1
20251107;021835.491;25291,5;25293;25292,75;1
20251107;021835.491;25291,5;25293;25292,5;1
20251107;021835.491;25291,5;25293;25292,25;1
20251107;021835.491;25291,5;25293;25292,25;1
20251107;021835.491;25291,5;25293;25292,25;1
20251107;021835.491;25291,5;25293;25292;1
20251107;021835.491;25291,5;25293;25292;1
20251107;021835.491;25291,5;25293;25291,75;1
20251107;021835.491;25291,5;25293;25291,75;1
20251107;021835.491;25291,5;25293;25291,75;1
20251107;021835.491;25291,5;25293;25291,75;1
20251107;021835.491;25291,5;25293;25291,5;1
20251107;021835.491;25291,5;25293;25291,5;1
20251107;021835.491;25291,5;25293;25291,5;1
20251107;021835.491;25291,5;25293;25291,5;1
20251107;021835.524;25291,5;25293;25292,5;1
20251107;021836.432;25292,5;25293,5;25292;1
20251107;021836.433;25292,5;25293,5;25292,25;1
20251107;021836.529;25292,5;25293,75;25292,5;1
