date;time;bid;ask;last;volume
20251107;080547.597;25316.00;25317.00;25317.00;142
20251107;080551.152;25315.00;25316.00;25316.00;143
20251107;080702.045;25322.00;25323.00;25323.00;40
20251107;080726.863;25324.00;25325.00;25325.00;64
20251107;080737.682;25327.00;25328.00;25328.00;110
20251107;080740.550;25328.00;25329.00;25329.00;118
20251107;080801.666;25327.00;25328.00;25328.00;128
20251107;080916.941;25332.00;25333.00;25333.00;22
20251107;080916.941;25332.00;25333.00;25333.00;23
20251107;080916.942;25332.00;25333.00;25333.00;24
20251107;080916.942;25332.00;25333.00;25333.00;25
20251107;080943.012;25329.00;25330.00;25329.00;79
20251107;081037.147;25330.00;25331.00;25331.00;58
20251107;081040.350;25330.00;25331.00;25331.00;73
20251107;081120.019;25330.00;25331.00;25331.00;142
20251107;081241.696;25328.00;25329.00;25329.00;51
20251107;081403.262;25334.00;25335.00;25335.00;143
20251107;081403.262;25334.00;25335.00;25335.00;144
20251107;081405.064;25333.00;25334.00;25334.00;149
20251107;081408.383;25330.00;25331.00;25331.00;163
20251107;081418.853;25331.00;25332.00;25331.00;1
20251107;081506.749;25330.00;25331.00;25330.00;49
20251107;081506.749;25330.00;25331.00;25330.00;50
20251107;081537.621;25331.00;25332.00;25332.00;62
20251107;081848.751;25328.00;25329.00;25329.00;59
20251107;081853.487;25330.00;25331.00;25330.00;70
20251107;081859.065;25330.00;25331.00;25331.00;72
20251107;081904.151;25332.00;25333.00;25332.00;78
20251107;081920.482;25330.00;25331.00;25330.00;109
20251107;082100.577;25342.00;25343.00;25343.00;24
20251107;082100.597;25342.00;25343.00;25342.00;25
20251107;082116.388;25346.00;25347.00;25347.00;133
20251107;082126.099;25346.00;25347.00;25347.00;138
20251107;082145.424;25346.00;25347.00;25347.00;67
20251107;082223.223;25343.00;25344.00;25344.00;110
20251107;082258.189;25334.00;25335.00;25334.00;8
20251107;082258.189;25334.00;25335.00;25334.00;9
20251107;082301.443;25334.00;25335.00;25333.00;44
20251107;082301.443;25334.00;25335.00;25333.00;49
20251107;082301.444;25334.00;25335.00;25333.00;161
20251107;082301.445;25334.00;25335.00;25332.00;165
20251107;082301.445;25334.00;25335.00;25332.00;166
20251107;082301.913;25335.00;25336.00;25335.00;175
20251107;082307.477;25334.00;25335.00;25336.00;209
20251107;082307.515;25333.00;25334.00;25333.00;215
20251107;082307.515;25333.00;25334.00;25333.00;216
20251107;082307.575;25333.00;25334.00;25333.00;222
20251107;082318.425;25331.00;25332.00;25331.00;242
20251107;082336.995;25328.00;25329.00;25330.00;265
20251107;082336.995;25328.00;25329.00;25330.00;266
20251107;082336.995;25328.00;25329.00;25330.00;267
20251107;082336.995;25328.00;25329.00;25330.00;268
20251107;082336.995;25328.00;25329.00;25330.00;269
20251107;082359.225;25325.00;25326.00;25325.00;77
20251107;082406.082;25325.00;25326.00;25325.00;97
20251107;082424.011;25320.00;25321.00;25320.00;31
