date;time;bid;ask;price;volume;side;shape;order_type;entry_price;exit_price;exit_tag
20251107;061010.456;;25294.25;25294.25;1;ASK;;;;;
20251107;061010.456;;25294.50;25294.50;1;ASK;;;;;
20251107;061010.456;;25294.75;25294.75;3;ASK;;;;;
20251107;061010.456;25293.00;;25293.00;5;BID;;;;;
20251107;061010.456;25293.25;;25293.25;1;BID;;;;;
20251107;061010.456;;25294.75;25294.75;2;ASK;;;;;
20251107;061010.456;;25294.75;25294.75;1;ASK;;;;;
20251107;061010.456;;25295.00;25295.00;3;ASK;;;;;
20251107;061010.456;25293.25;;25293.25;2;BID;;;;;
20251107;061010.456;25293.25;;25293.25;3;BID;;;;;
20251107;061010.456;25293.25;;25293.25;4;BID;;;;;
20251107;061010.456;25293.25;;25293.25;5;BID;;;;;
20251107;061010.460;25293.25;;25293.25;6;BID;;;;;
20251107;061010.460;25293.50;;25293.50;1;BID;;;;;
20251107;061010.460;;25295.00;25295.00;2;ASK;;;;;
20251107;061010.460;25293.50;;25293.50;2;BID;;;;;
20251107;061010.460;25293.50;;25293.50;3;BID;;;;;
20251107;061010.472;25293.75;;25293.75;1;BID;;;;;
20251107;061010.472;25293.75;;25293.75;2;BID;;;;;
20251107;061010.556;25293.75;;25293.75;3;BID;;;;;
20251107;061010.624;25293.75;;25293.75;4;BID;;;;;
20251107;061010.652;25294.00;;25294.00;1;BID;;;;;
20251107;061010.652;25294.00;;25294.00;2;BID;;;;;
20251107;061011.444;;25295.00;25295.00;1;ASK;;;;;
20251107;061011.444;;25295.00;25295.00;1;ASK;;;;;
20251107;061011.444;25294.00;;25294.00;1;BID;;;;;
20251107;061011.444;25293.75;;25293.75;5;BID;;;;;
20251107;061011.444;25293.75;;25293.75;4;BID;;;;;
20251107;061011.476;25293.75;;25293.75;3;BID;;;;;
20251107;061011.476;25294.00;;25294.00;1;BID;;;;;
20251107;061011.512;;25295.00;25295.00;2;ASK;;;;;
20251107;061011.512;25293.75;;25293.75;2;BID;;;;;
20251107;061011.512;;25295.00;25295.00;1;ASK;;;;;
20251107;061011.728;;25294.75;25294.75;1;ASK;;;;;
20251107;061011.728;25293.75;;25293.75;1;BID;;;;;
20251107;061011.728;25293.50;;25293.50;5;BID;;;;;
20251107;061011.728;25293.50;;25293.50;4;BID;;;;;
20251107;061011.728;25293.50;;25293.50;3;BID;;;;;
20251107;061011.752;25293.75;;25293.75;1;BID;;;;;
20251107;061011.752;;25295.00;25295.00;2;ASK;;;;;
20251107;061011.820;;25294.75;25294.75;1;ASK;;;;;
20251107;061011.820;;25294.75;25294.75;2;ASK;;;;;
20251107;061011.820;25293.50;;25293.50;2;BID;;;;;
20251107;061011.820;25293.50;;25293.50;1;BID;;;;;
20251107;061011.820;;25294.50;25294.50;1;ASK;;;;;
20251107;061011.820;;25294.50;25294.50;2;ASK;;;;;
20251107;061011.820;25293.25;;25293.25;3;BID;;;;;
20251107;061011.820;25293.25;;25293.25;2;BID;;;;;
20251107;061011.820;25293.25;;25293.25;1;BID;;;;;
20251107;061011.820;;25294.25;25294.25;1;ASK;;;;;
20251107;061011.820;;25294.50;25294.50;2;ASK;;;;;
20251107;061011.820;;25294.50;25294.50;1;ASK;;;;;
20251107;061011.824;25293.25;;25293.25;2;BID;;;;;
20251107;061011.876;25293.50;;25293.50;1;BID;;;;;
20251107;061011.912;;25294.75;25294.75;3;ASK;;;;;
20251107;061011.912;;25294.75;25294.75;2;ASK;;;;;
20251107;061011.916;25293.00;;25293.00;4;BID;;;;;
20251107;061011.916;;25294.75;25294.75;1;ASK;;;;;
20251107;061011.916;25293.25;;25293.25;1;BID;;;;;
20251107;061011.916;25293.25;;25293.25;2;BID;;;;;
20251107;061011.916;25293.25;;25293.25;3;BID;;;;;
20251107;061011.916;25293.25;;25293.25;4;BID;;;;;
20251107;061011.972;25293.50;;25293.50;1;BID;;;;;
20251107;061012.008;;25294.75;25294.75;2;ASK;;;;;
20251107;061012.008;;25294.50;25294.50;1;ASK;;;;;
20251107;061012.008;;25294.75;25294.75;1;ASK;;;;;
20251107;061012.008;;25295.00;25295.00;2;ASK;;;;;
20251107;061012.016;;25295.00;25295.00;3;ASK;;;;;
20251107;061012.016;;25294.75;25294.75;1;ASK;;;;;
20251107;061012.068;;25295.00;25295.00;3;ASK;;;;;
20251107;061012.068;;25295.00;25295.00;2;ASK;;;;;
20251107;061012.068;25293.50;;25293.50;2;BID;;;;;
20251107;061012.068;25293.75;;25293.75;1;BID;;;;;
20251107;061012.080;;25295.00;25295.00;3;ASK;;;;;
20251107;061012.080;;25294.75;25294.75;1;ASK;;;;;
20251107;061012.080;25293.50;;25293.50;2;BID;;;;;
20251107;061012.080;;25295.00;25295.00;2;ASK;;;;;
20251107;061012.092;;25295.00;25295.00;3;ASK;;;;;
20251107;061012.092;;25294.75;25294.75;1;ASK;;;;;
20251107;061012.096;;25294.75;25294.75;2;ASK;;;;;
20251107;061012.096;25293.50;;25293.50;1;BID;;;;;
20251107;061012.096;;25294.50;25294.50;1;ASK;;;;;
20251107;061012.112;25293.25;;25293.25;3;BID;;;;;
20251107;061012.112;;25294.50;25294.50;2;ASK;;;;;
20251107;061012.112;25293.25;;25293.25;2;BID;;;;;
20251107;061012.124;25293.25;;25293.25;1;BID;;;;;
20251107;061012.160;;25294.25;25294.25;1;ASK;;;;;
20251107;061012.192;25293.25;;25293.25;2;BID;;;;;
20251107;061012.192;;25294.50;25294.50;1;ASK;;;;;
20251107;061012.192;25293.50;;25293.50;1;BID;;;;;
20251107;061012.192;;25294.75;25294.75;3;ASK;;;;;
20251107;061012.192;;25294.75;25294.75;2;ASK;;;;;
20251107;061012.192;25293.25;;25293.25;1;BID;;;;;
20251107;061012.192;25293.25;;25293.25;2;BID;;;;;
20251107;061012.196;25293.25;;25293.25;3;BID;;;;;
20251107;061012.248;25293.50;;25293.50;1;BID;;;;;
20251107;061012.592;25293.50;;25293.50;2;BID;;;;;
20251107;061012.592;25293.75;;25293.75;1;BID;;;;;
20251107;061012.592;;25294.75;25294.75;1;ASK;;;;;
20251107;061012.596;25293.50;;25293.50;1;BID;;;;;
20251107;061012.880;25293.50;;25293.50;2;BID;;;;;
20251107;061012.880;25293.75;;25293.75;1;BID;;;;;
20251107;061012.940;25293.50;;25293.50;2;BID;;;;;
20251107;061012.940;25293.50;;25293.50;1;BID;;;;;
20251107;061013.032;25293.50;;25293.50;1;BID;;;;;
20251107;061013.032;25293.25;;25293.25;3;BID;;;;;
20251107;061013.032;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.032;;25294.50;25294.50;2;ASK;;;;;
20251107;061013.032;25293.25;;25293.25;2;BID;;;;;
20251107;061013.032;25293.25;;25293.25;1;BID;;;;;
20251107;061013.032;;25294.25;25294.25;1;ASK;;;;;
20251107;061013.036;;25294.50;25294.50;2;ASK;;;;;
20251107;061013.036;25293.00;;25293.00;4;BID;;;;;
20251107;061013.036;;25294.25;25294.25;1;ASK;;;;;
20251107;061013.036;25293.00;;25293.00;3;BID;;;;;
20251107;061013.060;25293.00;;25293.00;4;BID;;;;;
20251107;061013.060;;25294.50;25294.50;2;ASK;;;;;
20251107;061013.060;25293.00;;25293.00;3;BID;;;;;
20251107;061013.060;25293.00;;25293.00;4;BID;;;;;
20251107;061013.060;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.060;25293.00;;25293.00;5;BID;;;;;
20251107;061013.060;;25294.75;25294.75;3;ASK;;;;;
20251107;061013.060;25293.25;;25293.25;1;BID;;;;;
20251107;061013.060;;25294.75;25294.75;2;ASK;;;;;
20251107;061013.060;25293.25;;25293.25;2;BID;;;;;
20251107;061013.060;25293.25;;25293.25;3;BID;;;;;
20251107;061013.060;;25294.75;25294.75;1;ASK;;;;;
20251107;061013.072;;25294.75;25294.75;2;ASK;;;;;
20251107;061013.072;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.072;25293.25;;25293.25;4;BID;;;;;
20251107;061013.072;;25294.75;25294.75;2;ASK;;;;;
20251107;061013.072;25293.25;;25293.25;3;BID;;;;;
20251107;061013.072;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.092;;25294.75;25294.75;2;ASK;;;;;
20251107;061013.108;;25294.75;25294.75;1;ASK;;;;;
20251107;061013.108;25293.25;;25293.25;4;BID;;;;;
20251107;061013.120;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.120;25293.25;;25293.25;3;BID;;;;;
20251107;061013.152;;25294.75;25294.75;1;ASK;;;;;
20251107;061013.272;;25294.75;25294.75;2;ASK;;;;;
20251107;061013.272;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.272;25293.25;;25293.25;2;BID;;;;;
20251107;061013.320;;25294.25;25294.25;1;ASK;;;;;
20251107;061013.320;25293.25;;25293.25;1;BID;;;;;
20251107;061013.340;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.340;;25294.75;25294.75;1;ASK;;;;;
20251107;061013.340;;25294.75;25294.75;2;ASK;;;;;
20251107;061013.340;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.340;;25294.25;25294.25;1;ASK;;;;;
20251107;061013.368;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.368;;25294.75;25294.75;1;ASK;;;;;
20251107;061013.368;25293.25;;25293.25;2;BID;;;;;
20251107;061013.372;;25294.75;25294.75;2;ASK;;;;;
20251107;061013.372;;25294.50;25294.50;1;ASK;;;;;
20251107;061013.764;;25294.50;25294.50;2;ASK;;;;;
20251107;061014.088;;25294.50;25294.50;1;ASK;;;;;
20251107;061014.088;;25294.75;25294.75;1;ASK;;;;;
20251107;061014.092;25293.25;;25293.25;3;BID;;;;;
20251107;061014.100;25293.25;;25293.25;4;BID;;;;;
20251107;061014.100;25293.25;;25293.25;5;BID;;;;;
20251107;061014.408;;25294.50;25294.50;1;ASK;;;;;
20251107;061014.408;25293.25;;25293.25;4;BID;;;;;
20251107;061014.408;;25294.50;25294.50;2;ASK;;;;;
20251107;061014.408;25293.25;;25293.25;3;BID;;;;;
20251107;061014.408;;25294.50;25294.50;1;ASK;;;;;
20251107;061014.408;;25294.50;25294.50;1;ASK;;;;;
20251107;061014.408;25293.25;;25293.25;4;BID;;;;;
20251107;061014.408;25293.25;;25293.25;5;BID;;;;;
20251107;061014.408;25293.50;;25293.50;1;BID;;;;;
20251107;061014.408;25293.50;;25293.50;2;BID;;;;;
20251107;061014.408;25293.50;;25293.50;3;BID;;;;;
20251107;061014.408;25293.50;;25293.50;4;BID;;;;;
20251107;061014.408;;25294.75;25294.75;1;ASK;;;;;
20251107;061014.408;25293.75;;25293.75;1;BID;;;;;
20251107;061014.408;25294.00;;25294.00;1;BID;;;;;
20251107;061014.424;25293.75;;25293.75;2;BID;;;;;
20251107;061014.424;25293.75;;25293.75;1;BID;;;;;
20251107;061014.448;25293.75;;25293.75;2;BID;;;;;
20251107;061014.448;25294.00;;25294.00;1;BID;;;;;
20251107;061014.448;25294.00;;25294.00;2;BID;;;;;
20251107;061014.448;;25294.75;25294.75;1;ASK;;;;;
20251107;061014.448;;25295.00;25295.00;2;ASK;;;;;
20251107;061014.448;25294.25;;25294.25;1;BID;;;;;
20251107;061014.448;;25295.00;25295.00;1;ASK;;;;;
20251107;061014.448;;25295.00;25295.00;1;ASK;;;;;
20251107;061014.448;;25295.50;25295.50;1;ASK;;;;;
20251107;061014.448;25294.50;;25294.50;1;BID;;;;;
20251107;061014.448;;25295.75;25295.75;3;ASK;;;;;
20251107;061014.448;;25295.75;25295.75;2;ASK;;;;;
20251107;061014.448;25294.50;;25294.50;2;BID;;;;;
20251107;061014.448;;25295.75;25295.75;1;ASK;;;;;
20251107;061014.448;25294.50;;25294.50;3;BID;;;;;
