date;time;bid;ask;price;volume;side;shape;order_type;entry_price;exit_price;exit_tag
20251031;050007.448;;26192.50;26192.50;1;ASK;;;;;
20251031;050007.448;;26192.50;26192.50;1;ASK;;;;;
20251031;050007.448;26191.75;;26191.75;2;BID;;;;;
20251031;050007.452;26191.75;;26191.75;1;BID;;;;;
20251031;050007.464;26192.00;;26192.00;1;BID;;;;;
20251031;050007.488;26191.75;;26191.75;1;BID;;;;;
20251031;050007.488;26191.50;;26191.50;2;BID;;;;;
20251031;050007.540;26191.50;;26191.50;1;BID;;;;;
20251031;050007.540;26191.50;;26191.50;1;BID;;;;;
20251031;050007.540;;26192.25;26192.25;1;ASK;;;;;
20251031;050007.540;26191.50;;26191.50;1;BID;;;;;
20251031;050007.540;26191.25;;26191.25;1;BID;;;;;
20251031;050007.540;26191.25;;26191.25;2;BID;;;;;
20251031;050007.540;;26192.00;26192.00;1;ASK;;;;;
20251031;050007.540;;26191.75;26191.75;1;ASK;;;;;
20251031;050007.540;26191.25;;26191.25;1;BID;;;;;
20251031;050007.540;26191.00;;26191.00;2;BID;;;;;
20251031;050007.540;26191.00;;26191.00;1;BID;;;;;
20251031;050007.544;;26192.00;26192.00;1;ASK;;;;;
20251031;050007.544;;26192.25;26192.25;2;ASK;;;;;
20251031;050007.544;26190.75;;26190.75;1;BID;;;;;
20251031;050007.544;;26192.00;26192.00;1;ASK;;;;;
20251031;050007.544;;26192.00;26192.00;2;ASK;;;;;
20251031;050007.544;26190.75;;26190.75;2;BID;;;;;
20251031;050007.544;26190.75;;26190.75;3;BID;;;;;
20251031;050007.544;26190.75;;26190.75;4;BID;;;;;
20251031;050007.544;;26191.75;26191.75;1;ASK;;;;;
20251031;050007.544;26191.00;;26191.00;1;BID;;;;;
20251031;050007.544;;26192.00;26192.00;2;ASK;;;;;
20251031;050007.544;26191.25;;26191.25;1;BID;;;;;
20251031;050007.644;;26191.75;26191.75;1;ASK;;;;;
20251031;050007.644;26191.00;;26191.00;3;BID;;;;;
20251031;050007.644;26191.00;;26191.00;2;BID;;;;;
20251031;050007.964;;26192.00;26192.00;2;ASK;;;;;
20251031;050008.076;26191.25;;26191.25;1;BID;;;;;
20251031;050009.448;26191.25;;26191.25;2;BID;;;;;
20251031;050009.448;;26192.00;26192.00;1;ASK;;;;;
20251031;050009.448;;26192.25;26192.25;3;ASK;;;;;
20251031;050009.448;;26192.25;26192.25;2;ASK;;;;;
20251031;050009.448;;26192.25;26192.25;1;ASK;;;;;
20251031;050009.448;26191.50;;26191.50;1;BID;;;;;
20251031;050009.448;26191.25;;26191.25;2;BID;;;;;
20251031;050009.736;;26192.00;26192.00;1;ASK;;;;;
20251031;050010.660;;26192.25;26192.25;1;ASK;;;;;
20251031;050010.660;26191.50;;26191.50;1;BID;;;;;
20251031;050012.164;26191.50;;26191.50;2;BID;;;;;
20251031;050012.164;;26192.50;26192.50;4;ASK;;;;;
20251031;050012.164;26191.75;;26191.75;1;BID;;;;;
20251031;050012.164;;26192.50;26192.50;3;ASK;;;;;
20251031;050012.164;26191.50;;26191.50;1;BID;;;;;
20251031;050012.164;;26192.25;26192.25;1;ASK;;;;;
20251031;050012.236;26191.25;;26191.25;2;BID;;;;;
20251031;050012.236;26191.50;;26191.50;1;BID;;;;;
20251031;050012.400;26191.50;;26191.50;2;BID;;;;;
20251031;050012.400;;26192.50;26192.50;4;ASK;;;;;
20251031;050012.400;;26192.50;26192.50;3;ASK;;;;;
20251031;050012.400;;26192.50;26192.50;2;ASK;;;;;
20251031;050012.400;;26192.50;26192.50;1;ASK;;;;;
20251031;050012.400;26191.75;;26191.75;1;BID;;;;;
20251031;050013.124;26191.50;;26191.50;2;BID;;;;;
20251031;050013.124;;26192.50;26192.50;2;ASK;;;;;
20251031;050013.124;;26192.25;26192.25;1;ASK;;;;;
20251031;050013.312;;26192.50;26192.50;2;ASK;;;;;
20251031;050013.652;26191.75;;26191.75;1;BID;;;;;
20251031;050013.652;;26192.50;26192.50;1;ASK;;;;;
20251031;050014.056;;26192.50;26192.50;1;ASK;;;;;
20251031;050014.056;;26192.75;26192.75;3;ASK;;;;;
20251031;050014.056;26192.00;;26192.00;1;BID;;;;;
20251031;050014.056;;26192.75;26192.75;1;ASK;;;;;
20251031;050014.056;;26192.75;26192.75;1;ASK;;;;;
20251031;050014.056;;26192.75;26192.75;1;ASK;;;;;
