date;time;bid;ask;price;volume;side;shape;order_type;entry_price;exit_price;exit_tag
20251107;085749.100;;25340.25;25340.25;1;ASK;;;;;
20251107;085749.892;25339.25;;25339.25;4;BID;;;;;
20251107;085750.348;;25340.50;25340.50;1;ASK;;;;;
20251107;085750.348;25339.50;;25339.50;1;BID;;;;;
20251107;085750.348;25339.75;;25339.75;1;BID;;;;;
20251107;085750.392;;25340.25;25340.25;1;ASK;;;;;
20251107;085750.392;25339.50;;25339.50;1;BID;;;;;
20251107;085750.444;;25340.50;25340.50;1;ASK;;;;;
20251107;085750.888;;25340.50;25340.50;2;ASK;;;;;
20251107;085750.888;;25340.25;25340.25;1;ASK;;;;;
20251107;085750.888;25339.25;;25339.25;4;BID;;;;;
20251107;085752.300;25339.25;;25339.25;1;BID;;;;;
20251107;085752.300;25339.25;;25339.25;3;BID;;;;;
20251107;085752.300;;25340.00;25340.00;1;ASK;;;;;
20251107;085752.300;;25340.00;25340.00;2;ASK;;;;;
20251107;085752.300;;25340.00;25340.00;1;ASK;;;;;
20251107;085752.300;;25340.25;25340.25;2;ASK;;;;;
20251107;085752.300;25339.25;;25339.25;2;BID;;;;;
20251107;085752.300;;25340.25;25340.25;1;ASK;;;;;
20251107;085752.300;;25340.00;25340.00;1;ASK;;;;;
20251107;085752.304;;25340.25;25340.25;1;ASK;;;;;
20251107;085752.304;25339.50;;25339.50;1;BID;;;;;
20251107;085752.304;;25340.50;25340.50;1;ASK;;;;;
20251107;085752.308;;25340.25;25340.25;1;ASK;;;;;
20251107;085752.308;25339.25;;25339.25;1;BID;;;;;
20251107;085752.348;25339.50;;25339.50;1;BID;;;;;
20251107;085752.348;;25340.50;25340.50;1;ASK;;;;;
20251107;085752.348;;25340.50;25340.50;2;ASK;;;;;
20251107;085752.348;;25340.25;25340.25;1;ASK;;;;;
20251107;085752.348;25339.25;;25339.25;1;BID;;;;;
20251107;085752.356;25339.50;;25339.50;1;BID;;;;;
20251107;085752.356;;25340.50;25340.50;1;ASK;;;;;
20251107;085752.404;;25340.25;25340.25;1;ASK;;;;;
20251107;085752.404;25339.25;;25339.25;1;BID;;;;;
20251107;085753.584;;25340.50;25340.50;1;ASK;;;;;
20251107;085753.584;25339.50;;25339.50;1;BID;;;;;
20251107;085753.636;;25340.25;25340.25;1;ASK;;;;;
20251107;085753.636;25339.25;;25339.25;3;BID;;;;;
20251107;085753.688;;25340.50;25340.50;1;ASK;;;;;
20251107;085753.688;25339.50;;25339.50;1;BID;;;;;
20251107;085753.688;;25340.50;25340.50;2;ASK;;;;;
20251107;085753.688;;25340.50;25340.50;1;ASK;;;;;
20251107;085753.688;25339.50;;25339.50;2;BID;;;;;
20251107;085754.900;25339.75;;25339.75;1;BID;;;;;
20251107;085754.900;;25340.75;25340.75;3;ASK;;;;;
20251107;085754.900;;25340.75;25340.75;2;ASK;;;;;
20251107;085754.900;;25340.50;25340.50;1;ASK;;;;;
20251107;085754.900;25339.50;;25339.50;2;BID;;;;;
