date;time;bid;ask;last;type;volume
20251107;021812.841;25300;25301;25301;Ask;1
20251107;021812.841;25300;25302;25302;Ask;1
20251107;021813.517;25303;25304;25303;Bid;1
20251107;021814.405;25303;25304;25304;Ask;2
20251107;021816.572;25303;25305;25305;Ask;1
20251107;021816.572;25303;25305;25305;Ask;1
20251107;021816.572;25303;25305;25305;Ask;1
20251107;021820.329;25305;25306;25306;Ask;3
20251107;021820.328;25305;25306;25305;Bid;1
20251107;021820.350;25305;25306;25306;Ask;4
20251107;021820.350;25304;25306;25304;Bid;1
20251107;021825.067;25298;25300;25300;Ask;1
20251107;021825.066;25298;25300;25300;Ask;1
20251107;021825.068;25298;25300;25300;Ask;1
20251107;021826.868;25298;25299;25299;Ask;1
20251107;021834.759;25295;25296;25295;Bid;1
20251107;021834.759;25295;25296;25295;Bid;1
20251107;021834.759;25295;25296;25295;Bid;1
20251107;021834.759;25295;25296;25295;Bid;1
20251107;021835.154;25293;25294;25293;Bid;1
20251107;021836.432;25291;25292;25291;Bid;3
20251107;021837.679;25291;25292;25291;Bid;1
20251107;021837.735;25291;25292;25291;Bid;1
20251107;021844.793;25295;25296;25295;Bid;1
20251107;021848.840;25291;25292;25291;Bid;1
20251107;021851.459;25290;25291;25290;Bid;1
20251107;021851.518;25290;25291;25291;Ask;2
20251107;021851.885;25290;25291;25291;Ask;1
20251107;021852.129;25290;25291;25291;Ask;2
20251107;021852.360;25290;25291;25290;Bid;2
20251107;021852.371;25290;25291;25291;Ask;2
20251107;021852.533;25291;25292;25292;Ask;2
20251107;021852.789;25291;25292;25291;Bid;2
20251107;021853.007;25291;25292;25292;Ask;3
20251107;021853.007;25291;25292;25291;Bid;1
20251107;021853.778;25290;25291;25290;Bid;1
20251107;021853.778;25290;25291;25290;Bid;1
20251107;021854.298;25290;25291;25291;Ask;2
20251107;021854.310;25290;25291;25291;Ask;1
20251107;021854.974;25289;25290;25289;Bid;4
20251107;021854.974;25289;25290;25289;Bid;2
20251107;021854.974;25289;25290;25289;Bid;1
20251107;021854.974;25289;25290;25289;Bid;1
20251107;021855.080;25289;25290;25290;Ask;2
20251107;021855.237;25288;25289;25288;Bid;1
20251107;021855.417;25288;25289;25288;Bid;1
20251107;021855.669;25288;25289;25288;Bid;2
20251107;021855.715;25288;25289;25289;Ask;1
20251107;021855.771;25288;25289;25288;Bid;1
20251107;021857.304;25289;25290;25289;Bid;1
20251107;021857.486;25288;25289;25288;Bid;2
20251107;021857.498;25288;25289;25288;Bid;1
20251107;021857.873;25288;25289;25289;Ask;1
20251107;021858.499;25288;25289;25288;Bid;2
20251107;021858.504;25288;25289;25288;Bid;1
20251107;021858.504;25288;25289;25288;Bid;1
20251107;021859.768;25288;25289;25289;Ask;1
20251107;021900.598;25289;25290;25289;Bid;1
20251107;021900.660;25289;25290;25290;Ask;2
20251107;021900.719;25289;25290;25289;Bid;1
20251107;021900.764;25289;25290;25290;Ask;1
20251107;021900.839;25289;25290;25290;Ask;2
20251107;021901.018;25289;25290;25289;Bid;1
20251107;021902.174;25289;25290;25289;Bid;1
20251107;021902.236;25289;25290;25290;Ask;2
20251107;021902.242;25289;25290;25290;Ask;1
20251107;021902.314;25289;25290;25290;Ask;2
20251107;021902.825;25290;25291;25290;Bid;1
20251107;021903.836;25290;25291;25290;Bid;1
20251107;021903.952;25290;25291;25290;Bid;1
20251107;021903.952;25290;25291;25291;Ask;1
20251107;021904.245;25291;25292;25291;Bid;1
20251107;021904.987;25292;25293;25293;Ask;1
20251107;021909.067;25291;25292;25291;Bid;1
20251107;021909.067;25291;25292;25291;Bid;1
20251107;021909.655;25289;25291;25291;Ask;2
20251107;021909.655;25289;25291;25291;Ask;2
20251107;021915.776;25286;25287;25286;Bid;2
20251107;021915.851;25286;25287;25286;Bid;1
20251107;021915.851;25286;25287;25286;Bid;1
20251107;021928.272;25288;25289;25289;Ask;1
20251107;021928.275;25288;25289;25289;Ask;4
20251107;021929.650;25289;25290;25289;Bid;1
20251107;021929.968;25289;25290;25289;Bid;1
20251107;021930.001;25289;25290;25289;Bid;1
20251107;021930.001;25289;25290;25290;Ask;1
20251107;021930.838;25290;25291;25291;Ask;1
20251107;021931.339;25292;25293;25293;Ask;1
20251107;021931.623;25292;25293;25293;Ask;2
20251107;021931.622;25292;25293;25292;Bid;1
20251107;021931.624;25292;25293;25293;Ask;2
20251107;021931.662;25291;25293;25293;Ask;1
20251107;021931.753;25292;25293;25293;Ask;2
20251107;021934.904;25290;25292;25290;Bid;2
20251107;021934.903;25290;25292;25290;Bid;1
20251107;021940.899;25289;25290;25289;Bid;1
20251107;021947.838;25286;25287;25287;Ask;1
20251107;021949.750;25284;25285;25284;Bid;2
20251107;021949.750;25284;25285;25285;Ask;1
20251107;021951.360;25285;25286;25285;Bid;1
20251107;021955.012;25285;25286;25286;Ask;2
20251107;021955.063;25285;25286;25286;Ask;1
20251107;021957.877;25284;25285;25285;Ask;2
20251107;022003.786;25282;25283;25282;Bid;1
