date;time;bid;ask;price;volume;side;shape;order_type;entry_price;exit_price;exit_tag
20251107;065045.232;;25316.00;25316.00;1;ASK;;;;;
20251107;065045.232;;25316.25;25316.25;1;ASK;;;;;
20251107;065045.232;25315.50;;25315.50;1;BID;;;;;
20251107;065045.232;;25316.50;25316.50;1;ASK;;;;;
20251107;065045.236;25315.75;;25315.75;1;BID;;;;;
20251107;065045.236;;25316.75;25316.75;1;ASK;;;;;
20251107;065045.236;;25317.00;25317.00;2;ASK;;;;;
20251107;065045.236;;25317.00;25317.00;1;ASK;;;;;
20251107;065045.236;;25317.25;25317.25;1;ASK;;;;;
20251107;065045.236;;25317.25;25317.25;2;ASK;;;;;
20251107;065045.236;;25317.25;25317.25;1;ASK;;;;;
20251107;065045.236;;25316.75;25316.75;1;ASK;;;;;
20251107;065045.236;25316.00;;25316.00;1;BID;;;;;
20251107;065045.236;;25317.50;25317.50;5;ASK;;;;;
20251107;065045.236;;25317.50;25317.50;4;ASK;;;;;
20251107;065045.236;;25317.25;25317.25;1;ASK;;;;;
20251107;065045.240;25315.75;;25315.75;1;BID;;;;;
20251107;065045.240;;25317.25;25317.25;2;ASK;;;;;
20251107;065045.240;;25317.00;25317.00;1;ASK;;;;;
20251107;065045.240;;25317.00;25317.00;2;ASK;;;;;
20251107;065045.240;;25316.75;25316.75;1;ASK;;;;;
20251107;065045.240;25315.75;;25315.75;2;BID;;;;;
20251107;065045.244;;25316.75;25316.75;2;ASK;;;;;
20251107;065045.244;25315.75;;25315.75;1;BID;;;;;
20251107;065045.252;;25316.50;25316.50;1;ASK;;;;;
20251107;065045.344;;25316.75;25316.75;2;ASK;;;;;
20251107;065045.516;25315.50;;25315.50;1;BID;;;;;
20251107;065045.516;;25316.50;25316.50;1;ASK;;;;;
20251107;065045.516;;25316.50;25316.50;1;ASK;;;;;
20251107;065045.516;;25316.75;25316.75;2;ASK;;;;;
20251107;065045.516;25315.75;;25315.75;1;BID;;;;;
20251107;065045.516;;25316.75;25316.75;1;ASK;;;;;
20251107;065045.516;;25317.00;25317.00;3;ASK;;;;;
20251107;065045.516;;25317.00;25317.00;2;ASK;;;;;
20251107;065045.520;;25316.75;25316.75;1;ASK;;;;;
20251107;065045.528;25316.00;;25316.00;1;BID;;;;;
20251107;065045.572;;25317.00;25317.00;2;ASK;;;;;
20251107;065045.632;25315.75;;25315.75;1;BID;;;;;
20251107;065045.632;;25316.75;25316.75;1;ASK;;;;;
20251107;065045.632;25315.50;;25315.50;1;BID;;;;;
20251107;065045.632;;25316.75;25316.75;2;ASK;;;;;
20251107;065045.632;;25316.50;25316.50;1;ASK;;;;;
20251107;065045.660;25315.75;;25315.75;1;BID;;;;;
20251107;065045.660;;25316.75;25316.75;2;ASK;;;;;
20251107;065046.056;25315.50;;25315.50;1;BID;;;;;
20251107;065046.060;;25316.50;25316.50;1;ASK;;;;;
20251107;065046.060;25315.50;;25315.50;2;BID;;;;;
20251107;065046.060;;25316.75;25316.75;2;ASK;;;;;
20251107;065046.060;25315.75;;25315.75;1;BID;;;;;
20251107;065046.084;;25316.75;25316.75;1;ASK;;;;;
20251107;065046.084;;25316.75;25316.75;1;ASK;;;;;
20251107;065046.084;25316.00;;25316.00;1;BID;;;;;
20251107;065046.084;;25317.00;25317.00;3;ASK;;;;;
20251107;065046.084;;25317.00;25317.00;2;ASK;;;;;
20251107;065046.088;;25316.75;25316.75;1;ASK;;;;;
20251107;065046.088;25315.75;;25315.75;1;BID;;;;;
20251107;065046.096;;25316.75;25316.75;2;ASK;;;;;
20251107;065046.096;;25316.50;25316.50;1;ASK;;;;;
20251107;065046.096;25315.50;;25315.50;2;BID;;;;;
20251107;065046.096;25315.75;;25315.75;1;BID;;;;;
20251107;065046.096;;25316.75;25316.75;2;ASK;;;;;
20251107;065046.380;;25316.75;25316.75;1;ASK;;;;;
20251107;065046.380;;25316.75;25316.75;1;ASK;;;;;
20251107;065046.380;25316.00;;25316.00;1;BID;;;;;
20251107;065046.380;;25317.00;25317.00;3;ASK;;;;;
20251107;065046.380;;25317.00;25317.00;2;ASK;;;;;
20251107;065046.380;25316.25;;25316.25;1;BID;;;;;
20251107;065046.380;;25316.75;25316.75;1;ASK;;;;;
20251107;065046.380;25315.75;;25315.75;1;BID;;;;;
20251107;065046.608;;25317.00;25317.00;2;ASK;;;;;
20251107;065046.880;;25317.00;25317.00;1;ASK;;;;;
20251107;065046.880;;25317.00;25317.00;1;ASK;;;;;
20251107;065046.880;25316.00;;25316.00;1;BID;;;;;
20251107;065046.880;;25317.25;25317.25;2;ASK;;;;;
20251107;065046.880;25316.25;;25316.25;1;BID;;;;;
20251107;065046.880;;25317.25;25317.25;1;ASK;;;;;
20251107;065046.880;;25317.25;25317.25;2;ASK;;;;;
20251107;065046.880;;25317.00;25317.00;1;ASK;;;;;
20251107;065046.920;;25317.25;25317.25;3;ASK;;;;;
20251107;065046.920;;25317.25;25317.25;2;ASK;;;;;
20251107;065046.920;;25317.00;25317.00;1;ASK;;;;;
20251107;065046.920;25316.00;;25316.00;1;BID;;;;;
20251107;065046.956;25316.25;;25316.25;1;BID;;;;;
20251107;065046.968;;25317.00;25317.00;2;ASK;;;;;
20251107;065047.016;25316.00;;25316.00;1;BID;;;;;
20251107;065047.068;25316.25;;25316.25;1;BID;;;;;
20251107;065047.096;25316.25;;25316.25;2;BID;;;;;
20251107;065047.096;;25317.00;25317.00;1;ASK;;;;;
20251107;065047.096;;25317.25;25317.25;1;ASK;;;;;
20251107;065047.096;;25317.25;25317.25;2;ASK;;;;;
20251107;065047.224;;25317.25;25317.25;1;ASK;;;;;
20251107;065047.224;;25317.25;25317.25;1;ASK;;;;;
20251107;065047.224;;25317.50;25317.50;4;ASK;;;;;
20251107;065047.224;;25317.50;25317.50;3;ASK;;;;;
20251107;065047.224;25316.50;;25316.50;1;BID;;;;;
20251107;065047.224;25316.50;;25316.50;2;BID;;;;;
20251107;065047.224;;25317.50;25317.50;2;ASK;;;;;
20251107;065047.224;25316.75;;25316.75;1;BID;;;;;
20251107;065047.224;25316.50;;25316.50;2;BID;;;;;
20251107;065047.224;25316.50;;25316.50;1;BID;;;;;
20251107;065047.224;25316.75;;25316.75;1;BID;;;;;
20251107;065047.228;25316.50;;25316.50;1;BID;;;;;
20251107;065047.468;25316.75;;25316.75;1;BID;;;;;
20251107;065047.468;25316.50;;25316.50;1;BID;;;;;
20251107;065047.468;25316.75;;25316.75;1;BID;;;;;
20251107;065047.476;25316.75;;25316.75;1;BID;;;;;
20251107;065047.476;25316.50;;25316.50;1;BID;;;;;
20251107;065047.476;25316.25;;25316.25;1;BID;;;;;
