date;time;bid;ask;price;volume;side;shape
20251110;175250.332;;25465.75;25465.75;6;ASK;
20251110;175250.324;25465.25;;25465.25;1;BID;
20251110;175250.323;25465.25;;25465.25;1;BID;
20251110;175250.332;;25465.75;25465.75;6;ASK;
20251110;175250.412;;;25465.50;3;BETWEEN;
20251110;175250.412;25465.00;;25465.00;4;BID;
20251110;175250.434;;25465.75;25465.75;7;ASK;
20251110;175250.434;25465.00;;25465.00;3;BID;
20251110;175250.469;;;25465.50;2;BETWEEN;
20251110;175250.469;25465.00;;25465.00;4;BID;
20251110;175250.504;;25466.25;25466.25;12;ASK;
20251110;175250.504;;;25465.75;3;BETWEEN;
20251110;175250.495;25465.50;;25465.50;3;BID;
20251110;175250.495;25465.00;;25465.00;3;BID;
20251110;175250.495;;25465.50;25465.50;1;ASK;
20251110;175250.495;;25465.50;25465.50;1;ASK;
20251110;175250.497;;25465.75;25465.75;1;ASK;
20251110;175250.497;;;25465.50;2;BETWEEN;
20251110;175250.497;;25465.75;25465.75;1;ASK;
20251110;175250.502;;25466.25;25466.25;17;ASK;
20251110;175250.502;25465.50;;25465.50;5;BID;
20251110;175250.502;;25466.25;25466.25;1;ASK;
20251110;175250.513;;25466.25;25466.25;12;ASK;
20251110;175250.513;;;25465.75;2;BETWEEN;
20251110;175250.513;;25466.25;25466.25;1;ASK;
20251110;175250.513;;25466.25;25466.25;1;ASK;
20251110;175250.513;;25466.25;25466.25;3;ASK;
20251110;175250.514;;25466.25;25466.25;7;ASK;
20251110;175250.514;25465.75;;25465.75;4;BID;
20251110;175250.514;;25466.25;25466.25;7;ASK;
20251110;175250.515;;25466.50;25466.50;1;ASK;
20251110;175250.515;;;25466.25;2;BETWEEN;
20251110;175250.515;;25466.50;25466.50;1;ASK;
20251110;175250.516;;25466.75;25466.75;2;ASK;
20251110;175250.516;25466.25;;25466.25;4;BID;
20251110;175250.516;;25466.75;25466.75;1;ASK;
20251110;175250.516;;25466.75;25466.75;1;ASK;
20251110;175250.517;;25467.00;25467.00;4;ASK;
20251110;175250.517;;;25466.50;2;BETWEEN;
20251110;175250.517;;25467.00;25467.00;1;ASK;
20251110;175250.517;;25467.00;25467.00;1;ASK;
20251110;175250.517;;25467.00;25467.00;1;ASK;
20251110;175250.517;;25467.00;25467.00;1;ASK;
20251110;175250.518;;25467.25;25467.25;2;ASK;
20251110;175250.518;;;25466.75;4;BETWEEN;
20251110;175250.518;;25467.25;25467.25;1;ASK;
20251110;175250.518;;25467.25;25467.25;1;ASK;
20251110;175250.519;;25467.50;25467.50;3;ASK;
