date;time;bid;ask;price;volume;side;shape;order_type;entry_price;exit_price;exit_tag
20251107;063459.580;;25304.25;25304.25;1;ASK;;;;;
20251107;063459.580;;25305.25;25305.25;1;ASK;;;;;
20251107;063459.580;25304.25;;25304.25;1;BID;;;;;
20251107;063459.580;;25305.25;25305.25;2;ASK;;;;;
20251107;063459.580;;25305.25;25305.25;1;ASK;;;;;
20251107;063459.580;;25305.00;25305.00;1;ASK;;;;;
20251107;063459.580;25304.00;;25304.00;2;BID;;;;;
20251107;063459.604;;25305.25;25305.25;1;ASK;;;;;
20251107;063459.656;25304.25;;25304.25;1;BID;;;;;
20251107;063459.656;;25305.50;25305.50;3;ASK;;;;;
20251107;063459.656;;25305.50;25305.50;2;ASK;;;;;
20251107;063459.660;;25305.25;25305.25;1;ASK;;;;;
20251107;063459.660;25304.00;;25304.00;2;BID;;;;;
20251107;063500.708;;25305.00;25305.00;1;ASK;;;;;
20251107;063500.708;25304.00;;25304.00;1;BID;;;;;
20251107;063501.004;;25305.25;25305.25;1;ASK;;;;;
20251107;063501.684;25304.25;;25304.25;1;BID;;;;;
20251107;063501.684;;25305.50;25305.50;3;ASK;;;;;
20251107;063501.688;;25305.50;25305.50;2;ASK;;;;;
20251107;063501.688;;25305.25;25305.25;1;ASK;;;;;
20251107;063501.688;;25305.50;25305.50;1;ASK;;;;;
20251107;063501.688;;25305.75;25305.75;1;ASK;;;;;
20251107;063501.688;25304.50;;25304.50;1;BID;;;;;
20251107;063501.688;;25305.50;25305.50;1;ASK;;;;;
20251107;063501.688;25304.25;;25304.25;1;BID;;;;;
20251107;063501.716;;25305.25;25305.25;1;ASK;;;;;
20251107;063501.736;25304.50;;25304.50;1;BID;;;;;
20251107;063501.736;;25305.50;25305.50;1;ASK;;;;;
20251107;063501.764;;25305.50;25305.50;2;ASK;;;;;
20251107;063501.764;;25305.25;25305.25;1;ASK;;;;;
20251107;063501.764;25304.25;;25304.25;1;BID;;;;;
20251107;063501.792;;25305.50;25305.50;1;ASK;;;;;
20251107;063501.792;;25305.50;25305.50;2;ASK;;;;;
20251107;063501.836;;25305.50;25305.50;3;ASK;;;;;
20251107;063501.836;;25305.25;25305.25;1;ASK;;;;;
20251107;063501.836;25304.00;;25304.00;1;BID;;;;;
20251107;063501.836;;25305.25;25305.25;2;ASK;;;;;
20251107;063501.836;;25305.25;25305.25;1;ASK;;;;;
20251107;063501.836;25304.25;;25304.25;1;BID;;;;;
20251107;063501.840;25304.00;;25304.00;1;BID;;;;;
20251107;063501.840;;25305.00;25305.00;1;ASK;;;;;
20251107;063502.120;;25305.00;25305.00;1;ASK;;;;;
20251107;063502.120;;25305.25;25305.25;1;ASK;;;;;
20251107;063502.120;25304.25;;25304.25;1;BID;;;;;
20251107;063502.120;;25305.50;25305.50;3;ASK;;;;;
20251107;063502.120;;25305.50;25305.50;2;ASK;;;;;
20251107;063502.124;;25305.25;25305.25;1;ASK;;;;;
20251107;063502.460;25304.00;;25304.00;1;BID;;;;;
20251107;063502.460;;25305.00;25305.00;1;ASK;;;;;
20251107;063502.784;;25305.25;25305.25;1;ASK;;;;;
20251107;063502.784;25304.25;;25304.25;1;BID;;;;;
20251107;063502.784;25304.25;;25304.25;2;BID;;;;;
20251107;063502.784;25304.50;;25304.50;1;BID;;;;;
20251107;063502.784;;25305.50;25305.50;3;ASK;;;;;
20251107;063502.784;;25305.50;25305.50;2;ASK;;;;;
20251107;063502.788;25304.25;;25304.25;1;BID;;;;;
20251107;063502.816;25304.25;;25304.25;1;BID;;;;;
20251107;063502.816;25304.00;;25304.00;1;BID;;;;;
20251107;063502.816;;25305.25;25305.25;1;ASK;;;;;
20251107;063502.868;25304.25;;25304.25;1;BID;;;;;
20251107;063502.868;;25305.50;25305.50;2;ASK;;;;;
20251107;063502.896;;25305.25;25305.25;1;ASK;;;;;
20251107;063502.952;;25305.50;25305.50;2;ASK;;;;;
20251107;063503.384;25304.50;;25304.50;1;BID;;;;;
20251107;063503.600;25304.25;;25304.25;1;BID;;;;;
20251107;063503.600;;25305.25;25305.25;1;ASK;;;;;
20251107;063503.600;;25305.25;25305.25;2;ASK;;;;;
20251107;063503.972;25304.00;;25304.00;1;BID;;;;;
20251107;063503.972;;25305.25;25305.25;1;ASK;;;;;
20251107;063503.972;;25305.50;25305.50;3;ASK;;;;;
20251107;063503.972;25304.25;;25304.25;1;BID;;;;;
20251107;063503.972;;25305.50;25305.50;2;ASK;;;;;
20251107;063503.976;;25305.25;25305.25;1;ASK;;;;;
20251107;063504.772;;25305.50;25305.50;2;ASK;;;;;
20251107;063504.772;25304.50;;25304.50;1;BID;;;;;
20251107;063504.772;;25305.25;25305.25;1;ASK;;;;;
20251107;063504.772;25304.25;;25304.25;1;BID;;;;;
20251107;063504.880;;25305.50;25305.50;2;ASK;;;;;
20251107;063504.888;25304.50;;25304.50;1;BID;;;;;
20251107;063505.096;25304.25;;25304.25;1;BID;;;;;
20251107;063505.096;;25305.25;25305.25;1;ASK;;;;;
20251107;063505.164;25304.00;;25304.00;1;BID;;;;;
20251107;063505.164;25304.25;;25304.25;1;BID;;;;;
20251107;063505.164;;25305.50;25305.50;2;ASK;;;;;
20251107;063505.164;25304.50;;25304.50;1;BID;;;;;
20251107;063505.180;;25305.50;25305.50;1;ASK;;;;;
20251107;063505.180;;25305.75;25305.75;1;ASK;;;;;
