date;time;bid;ask;price;volume;side;shape;order_type;entry_price;exit_price;exit_tag
20251107;061251.124;;25293.50;25293.50;1;ASK;;;;;
20251107;061251.124;;25293.75;25293.75;1;ASK;;;;;
20251107;061251.128;;25293.75;25293.75;2;ASK;;;;;
20251107;061251.128;;25293.50;25293.50;1;ASK;;;;;
20251107;061251.128;;25293.75;25293.75;1;ASK;;;;;
20251107;061251.364;;25293.75;25293.75;2;ASK;;;;;
20251107;061251.992;;25293.75;25293.75;1;ASK;;;;;
20251107;061251.992;25292.75;;25292.75;1;BID;;;;;
20251107;061251.992;;25294.00;25294.00;1;ASK;;;;;
20251107;061251.992;;25293.75;25293.75;1;ASK;;;;;
20251107;061251.992;25292.50;;25292.50;2;BID;;;;;
20251107;061252.240;;25293.75;25293.75;2;ASK;;;;;
20251107;061252.240;25292.75;;25292.75;1;BID;;;;;
20251107;061252.240;;25293.75;25293.75;1;ASK;;;;;
20251107;061252.240;;25294.00;25294.00;1;ASK;;;;;
20251107;061252.240;25292.75;;25292.75;2;BID;;;;;
20251107;061252.244;25293.00;;25293.00;1;BID;;;;;
20251107;061252.252;;25294.00;25294.00;2;ASK;;;;;
20251107;061252.252;25292.75;;25292.75;2;BID;;;;;
20251107;061252.252;;25293.75;25293.75;1;ASK;;;;;
20251107;061252.252;25292.75;;25292.75;1;BID;;;;;
20251107;061252.252;25292.50;;25292.50;3;BID;;;;;
20251107;061252.252;25292.50;;25292.50;2;BID;;;;;
20251107;061252.252;25292.75;;25292.75;1;BID;;;;;
20251107;061252.252;;25294.00;25294.00;1;ASK;;;;;
20251107;061252.264;;25294.00;25294.00;2;ASK;;;;;
20251107;061252.264;;25293.75;25293.75;1;ASK;;;;;
20251107;061252.264;25292.50;;25292.50;2;BID;;;;;
20251107;061252.348;25292.75;;25292.75;1;BID;;;;;
20251107;061252.348;;25294.00;25294.00;1;ASK;;;;;
20251107;061252.352;25292.75;;25292.75;2;BID;;;;;
20251107;061252.352;;25294.00;25294.00;2;ASK;;;;;
20251107;061253.044;25293.00;;25293.00;1;BID;;;;;
20251107;061253.044;;25294.00;25294.00;1;ASK;;;;;
20251107;061253.080;;25294.00;25294.00;2;ASK;;;;;
20251107;061253.080;25292.75;;25292.75;2;BID;;;;;
20251107;061253.080;;25294.00;25294.00;1;ASK;;;;;
20251107;061253.460;;25293.75;25293.75;1;ASK;;;;;
20251107;061253.460;;25294.00;25294.00;1;ASK;;;;;
20251107;061253.460;25292.75;;25292.75;1;BID;;;;;
20251107;061253.464;25292.50;;25292.50;3;BID;;;;;
20251107;061253.464;;25293.75;25293.75;1;ASK;;;;;
