timestamp;shape;close_price;previous_close;price_change;price_change_pct;total_bid;total_ask;bid_ask_ratio;num_price_levels;lower_bid_volume;upper_ask_volume;max_lower_bid;max_upper_ask;bid_concentration;ask_concentration
2025-10-09 14:00:41.768;p_shape;25323,25;25323,0;0,25;0,0009872447972199185;31,0;65,0;0,47692307692307695;13;10,0;56,0;3,0;20,0;0,3225806451612903;0,8615384615384616
2025-10-09 15:06:58.768;p_shape;25327,5;25324,5;3,0;0,011846235858555945;40,0;102,0;0,39215686274509803;19;40,0;96,0;8,0;24,0;1,0;0,9411764705882353
2025-10-09 15:06:59.768;d_shape;25322,75;25326,75;-4,0;-0,015793577936371622;105,0;168,0;0,625;26;86,0;108,0;31,0;24,0;0,819047619047619;0,6428571428571429
2025-10-09 15:07:00.268;d_shape;25320,5;25322,75;-2,25;-0,008885290894551342;180,0;197,0;0,9137055837563451;37;149,0;149,0;43,0;24,0;0,8277777777777777;0,7563451776649747
2025-10-09 15:07:00.768;d_shape;25320,0;25320,5;-0,5;-0,001974684544144073;202,0;197,0;1,0253807106598984;40;168,0;155,0;43,0;24,0;0,8316831683168316;0,7868020304568528
2025-10-09 15:25:00.768;d_shape;25330,5;25331,5;-1,0;-0,003947654106547184;135,0;309,0;0,4368932038834951;17;127,0;107,0;33,0;20,0;0,9407407407407408;0,34627831715210355
2025-10-09 15:25:04.268;d_shape;25329,75;25332,0;-2,25;-0,008882046423495974;96,0;340,0;0,2823529411764706;18;82,0;113,0;34,0;20,0;0,8541666666666666;0,3323529411764706
2025-10-09 15:27:50.268;p_shape;25326,25;25317,25;9,0;0,03554888465374399;93,0;176,0;0,5284090909090909;36;69,0;167,0;7,0;28,0;0,7419354838709677;0,9488636363636364
2025-10-09 15:27:51.268;p_shape;25324,5;25323,75;0,75;0,0029616466755516065;95,0;224,0;0,42410714285714285;36;69,0;216,0;7,0;31,0;0,7263157894736842;0,9642857142857143
2025-10-09 15:27:52.268;p_shape;25324,5;25324,0;0,5;0,0019744116253356497;106,0;223,0;0,47533632286995514;36;69,0;219,0;7,0;31,0;0,6509433962264151;0,9820627802690582
2025-10-09 15:27:52.768;p_shape;25325,5;25324,5;1,0;0,003948745286185314;114,0;224,0;0,5089285714285714;36;67,0;220,0;7,0;32,0;0,5877192982456141;0,9821428571428571
2025-10-09 15:27:54.768;p_shape;25325,0;25324,5;0,5;0,001974372643092657;117,0;238,0;0,49159663865546216;34;69,0;238,0;7,0;35,0;0,5897435897435898;1,0
2025-10-09 15:27:55.268;p_shape;25325,25;25325,0;0,25;0,000987166831194472;117,0;240,0;0,4875;34;69,0;240,0;7,0;35,0;0,5897435897435898;1,0
2025-10-09 15:30:01.768;d_shape;25321,75;25323,75;-2,0;-0,007897724468137617;145,0;694,0;0,20893371757925072;58;128,0;457,0;23,0;65,0;0,8827586206896552;0,6585014409221902
