index;timestamp;price;type;direction;confirmed
300;2025-10-09 11:03:00;25302,5;PICO;up;True
304;2025-10-09 11:05:00;25295,25;VALLE;down;True
306;2025-10-09 11:06:00;25309,5;PICO;up;True
306;2025-10-09 11:07:00;25299,5;VALLE;down;True
308;2025-10-09 11:09:00;25313,25;PICO;up;True
309;2025-10-09 11:11:00;25307,75;VALLE;down;True
312;2025-10-09 11:12:00;25321,75;PICO;up;True
312;2025-10-09 11:13:00;25315,0;VALLE;down;True
315;2025-10-09 11:15:00;25326,75;PICO;up;True
316;2025-10-09 11:16:00;25317,75;VALLE;down;True
316;2025-10-09 11:17:00;25324,75;PICO;up;True
321;2025-10-09 11:22:00;25315,5;VALLE;down;True
322;2025-10-09 11:23:00;25321,0;PICO;up;True
324;2025-10-09 11:26:00;25314,0;VALLE;down;True
333;2025-10-09 11:33:00;25327,75;PICO;up;True
333;2025-10-09 11:34:00;25321,25;VALLE;down;True
335;2025-10-09 11:36:00;25339,25;PICO;up;True
338;2025-10-09 11:39:00;25328,75;VALLE;down;True
340;2025-10-09 11:40:00;25335,0;PICO;up;True
342;2025-10-09 11:43:00;25327,0;VALLE;down;True
344;2025-10-09 11:45:00;25333,0;PICO;up;True
350;2025-10-09 11:52:00;25322,5;VALLE;down;True
353;2025-10-09 11:54:00;25328,25;PICO;up;True
355;2025-10-09 11:55:00;25321,25;VALLE;down;True
357;2025-10-09 11:59:00;25329,0;PICO;up;True
360;2025-10-09 12:00:00;25317,25;VALLE;down;True
361;2025-10-09 12:01:00;25325,25;PICO;up;True
362;2025-10-09 12:02:00;25310,75;VALLE;down;True
364;2025-10-09 12:07:00;25328,25;PICO;up;True
368;2025-10-09 12:08:00;25320,5;VALLE;down;True
369;2025-10-09 12:10:00;25327,75;PICO;up;True
371;2025-10-09 12:12:00;25321,75;VALLE;down;True
375;2025-10-09 12:17:00;25332,75;PICO;up;True
378;2025-10-09 12:21:00;25325,5;VALLE;down;True
381;2025-10-09 12:23:00;25331,0;PICO;up;True
385;2025-10-09 12:25:00;25317,0;VALLE;down;True
385;2025-10-09 12:26:00;25322,25;PICO;up;True
389;2025-10-09 12:29:00;25308,5;VALLE;down;True
389;2025-10-09 12:30:00;25315,75;PICO;up;True
390;2025-10-09 12:31:00;25306,0;VALLE;down;True
392;2025-10-09 12:33:00;25316,5;PICO;up;True
393;2025-10-09 12:36:00;25303,5;VALLE;down;True
397;2025-10-09 12:37:00;25313,75;PICO;up;True
398;2025-10-09 12:39:00;25307,75;VALLE;down;True
402;2025-10-09 12:43:00;25315,25;PICO;up;True
408;2025-10-09 12:48:00;25305,5;VALLE;down;True
420;2025-10-09 13:00:00;25323,25;PICO;up;True
