tick_index;timestamp;price;type;direction;confirmed;preview_tick_index;fractal_tick_index;preview_minutes
105;2025-10-24 13:39:05;25372,25;PICO;up;True;53;105;1
227;2025-10-24 13:39:57;25369,25;VALLE;down;True;98;227;1
374;2025-10-24 13:41:40;25376,5;PICO;up;True;321;374;1
439;2025-10-24 13:42:18;25372,5;VALLE;down;True;332;439;1
466;2025-10-24 13:42:43;25375,5;PICO;up;True;377;466;1
538;2025-10-24 13:44:21;25368,25;VALLE;down;True;514;538;1
643;2025-10-24 13:46:13;25374,25;PICO;up;True;573;643;1
732;2025-10-24 13:48:22;25369,0;VALLE;down;True;706;732;1
787;2025-10-24 13:49:19;25373,25;PICO;up;True;730;787;1
824;2025-10-24 13:50:18;25369,0;VALLE;down;True;781;824;1
918;2025-10-24 13:50:41;25377,0;PICO;up;True;804;918;1
1012;2025-10-24 13:51:43;25371,25;VALLE;down;True;920;1012;1
1141;2025-10-24 13:53:38;25377,75;PICO;up;True;1089;1141;1
1175;2025-10-24 13:53:49;25374,75;VALLE;down;True;1091;1175;1
1326;2025-10-24 13:55:14;25382,25;PICO;up;True;1194;1326;1
1373;2025-10-24 13:55:16;25379,5;VALLE;down;True;1202;1373;1
1536;2025-10-24 13:56:08;25386,25;PICO;up;True;1240;1536;1
1674;2025-10-24 13:57:03;25377,25;VALLE;down;True;1523;1674;1
1713;2025-10-24 13:57:16;25380,75;PICO;up;True;1589;1713;1
1767;2025-10-24 13:57:28;25374,75;VALLE;down;True;1595;1767;1
1846;2025-10-24 13:57:43;25381,25;PICO;up;True;1619;1846;1
1984;2025-10-24 13:59:11;25371,5;VALLE;down;True;1916;1984;1
2085;2025-10-24 14:00:16;25376,5;PICO;up;True;1990;2085;1
2108;2025-10-24 14:00:35;25371,75;VALLE;down;True;2006;2108;1
2240;2025-10-24 14:02:01;25378,0;PICO;up;True;2156;2240;1
2289;2025-10-24 14:02:28;25371,75;VALLE;down;True;2213;2289;1
2349;2025-10-24 14:02:42;25377,75;PICO;up;True;2230;2349;1
2358;2025-10-24 14:02:52;25375,0;VALLE;down;True;2233;2358;1
2709;2025-10-24 14:07:04;25384,25;PICO;up;True;2617;2709;1
2734;2025-10-24 14:07:19;25379,75;VALLE;down;True;2639;2734;1
2787;2025-10-24 14:07:39;25383,5;PICO;up;True;2659;2787;1
3034;2025-10-24 14:11:19;25374,75;VALLE;down;True;2943;3034;1
3138;2025-10-24 14:12:08;25380,25;PICO;up;True;3016;3138;1
3225;2025-10-24 14:12:49;25375,5;VALLE;down;True;3083;3225;1
3247;2025-10-24 14:13:01;25378,25;PICO;up;True;3116;3247;1
3293;2025-10-24 14:13:14;25375,25;VALLE;down;True;3145;3293;1
3324;2025-10-24 14:13:21;25379,0;PICO;up;True;3159;3324;1
3573;2025-10-24 14:15:36;25370,5;VALLE;down;True;3387;3573;1
3620;2025-10-24 14:16:00;25373,25;PICO;up;True;3416;3620;1
3716;2025-10-24 14:17:04;25367,75;VALLE;down;True;3631;3716;1
3762;2025-10-24 14:17:12;25370,5;PICO;up;True;3634;3762;1
3793;2025-10-24 14:17:32;25367,75;VALLE;down;True;3650;3793;1
4021;2025-10-24 14:19:44;25373,25;PICO;up;True;3895;4021;1
