timestamp;shape;close_price;previous_close;price_change;price_change_pct;total_bid;total_ask;bid_ask_ratio;num_price_levels;lower_bid_volume;upper_ask_volume;max_lower_bid;max_upper_ask;bid_concentration;ask_concentration
2025-10-20 18:10:15.500;d_shape;25306,25;25306,5;-0,25;-0,000987888487147571;31,0;115,0;0,26956521739130435;23;22,0;46,0;10,0;8,0;0,7096774193548387;0,4
2025-10-20 18:10:17.500;d_shape;25306,0;25306,25;-0,25;-0,0009878982464806125;45,0;126,0;0,35714285714285715;23;43,0;24,0;15,0;7,0;0,9555555555555556;0,19047619047619047
2025-10-20 18:10:33.500;d_shape;25309,25;25311,25;-2,0;-0,00790162477159366;33,0;11,0;3,0;13;26,0;8,0;20,0;3,0;0,7878787878787878;0,7272727272727273
2025-10-20 18:10:34.500;d_shape;25308,5;25309,25;-0,75;-0,002963343441627073;32,0;17,0;1,8823529411764706;16;23,0;9,0;20,0;3,0;0,71875;0,5294117647058824
2025-10-20 18:10:35.500;d_shape;25308,0;25308,5;-0,5;-0,001975620838848608;34,0;20,0;1,7;16;25,0;9,0;20,0;3,0;0,7352941176470589;0,45
2025-10-20 18:11:05.500;p_shape;25316,25;25315,5;0,75;0,002962611838596907;39,0;31,0;1,2580645161290323;10;4,0;23,0;2,0;9,0;0,10256410256410256;0,7419354838709677
2025-10-20 18:11:40.500;d_shape;25304,75;25305,5;-0,75;-0,0029637825769101575;12,0;39,0;0,3076923076923077;14;11,0;13,0;7,0;5,0;0,9166666666666666;0,3333333333333333
2025-10-20 18:12:46.500;p_shape;25303,75;25302,5;1,25;0,004940223298093073;67,0;82,0;0,8170731707317073;15;27,0;64,0;8,0;14,0;0,40298507462686567;0,7804878048780488
2025-10-20 18:13:08.500;d_shape;25299,5;25300,25;-0,75;-0,0029643975850041004;16,0;60,0;0,26666666666666666;13;12,0;23,0;5,0;8,0;0,75;0,38333333333333336
2025-10-20 18:13:09.500;d_shape;25299,25;25299,5;-0,25;-0,000988161821379869;15,0;60,0;0,25;14;12,0;17,0;5,0;4,0;0,8;0,2833333333333333
2025-10-20 18:13:24.500;p_shape;25303,75;25302,25;1,5;0,005928326532225395;41,0;34,0;1,2058823529411764;12;13,0;25,0;4,0;7,0;0,3170731707317073;0,7352941176470589
2025-10-20 18:13:40.500;d_shape;25299,0;25299,5;-0,5;-0,001976323642759738;21,0;33,0;0,6363636363636364;11;17,0;7,0;9,0;3,0;0,8095238095238095;0,21212121212121213
2025-10-20 18:14:02.500;d_shape;25299,25;25299,5;-0,25;-0,000988161821379869;18,0;31,0;0,5806451612903226;10;14,0;5,0;5,0;3,0;0,7777777777777778;0,16129032258064516
2025-10-20 18:14:51.500;p_shape;25302,0;25301,75;0,25;0,0009880739474542276;61,0;36,0;1,6944444444444444;15;24,0;36,0;11,0;16,0;0,39344262295081966;1,0
2025-10-20 18:15:21.500;d_shape;25301,0;25301,75;-0,75;-0,002964221842362682;22,0;25,0;0,88;12;18,0;9,0;8,0;3,0;0,8181818181818182;0,36
2025-10-20 18:15:38.500;p_shape;25304,25;25302,0;2,25;0,008892577661844914;154,0;106,0;1,4528301886792452;25;116,0;92,0;52,0;14,0;0,7532467532467533;0,8679245283018868
2025-10-20 18:16:08.500;p_shape;25308,25;25307,75;0,5;0,001975679386749118;69,0;45,0;1,5333333333333334;14;30,0;32,0;12,0;16,0;0,43478260869565216;0,7111111111111111
2025-10-20 18:16:09.500;p_shape;25309,0;25308,25;0,75;0,0029634605316448195;54,0;49,0;1,1020408163265305;12;23,0;37,0;10,0;16,0;0,42592592592592593;0,7551020408163265
2025-10-20 18:16:10.500;p_shape;25309,25;25309,0;0,25;0,0009877909044213522;33,0;61,0;0,5409836065573771;11;10,0;45,0;9,0;20,0;0,30303030303030304;0,7377049180327869
2025-10-20 18:16:32.500;p_shape;25308,25;25307,75;0,5;0,001975679386749118;24,0;20,0;1,2;13;12,0;17,0;3,0;5,0;0,5;0,85
2025-10-20 18:17:33.500;d_shape;25299,75;25301,0;-1,25;-0,004940516185131022;53,0;126,0;0,42063492063492064;26;42,0;46,0;12,0;9,0;0,7924528301886793;0,36507936507936506
