entry_time;entry_price;exit_time;exit_price;side;tp_price;sl_price;entry_bid_density;entry_ask_density;entry_net_density;filter_mode;resultado;profit_points;profit_dollars;contracts;cumulative_profit
2025-10-09 06:01:42.500;25325,75;2025-10-09 06:04:38.000;25327,75;LONG;25327,75;25323,75;1;0;-1;MODO_1;TP;2,0;40,0;1;40,0
2025-10-09 06:05:50.000;25329,0;2025-10-09 06:06:34.500;25327,0;SHORT;25327,0;25331,0;0;2;2;MODO_1;TP;2,0;40,0;1;80,0
2025-10-09 06:08:13.500;25328,0;2025-10-09 06:14:08.500;25326,0;SHORT;25326,0;25330,0;0;3;3;MODO_1;TP;2,0;40,0;1;120,0
2025-10-09 06:14:35.500;25328,0;2025-10-09 06:16:01.000;25326,0;SHORT;25326,0;25330,0;0;3;3;MODO_1;TP;2,0;40,0;1;160,0
2025-10-09 06:17:56.000;25330,0;2025-10-09 06:18:36.500;25332,0;LONG;25332,0;25328,0;1;0;-1;MODO_1;TP;2,0;40,0;1;200,0
2025-10-09 06:22:55.000;25334,25;2025-10-09 06:24:35.500;25336,25;SHORT;25332,25;25336,25;0;4;4;MODO_1;SL;-2,0;-40,0;1;160,0
2025-10-09 06:26:48.500;25340,0;2025-10-09 06:27:58.500;25338,0;LONG;25342,0;25338,0;1;0;-1;MODO_1;SL;-2,0;-40,0;1;120,0
2025-10-09 06:29:37.000;25336,0;2025-10-09 06:30:03.500;25334,0;LONG;25338,0;25334,0;1;2;1;MODO_1;SL;-2,0;-40,0;1;80,0
2025-10-09 06:30:03.500;25334,25;2025-10-09 06:30:14.000;25332,25;SHORT;25332,25;25336,25;1;2;1;MODO_1;TP;2,0;40,0;1;120,0
2025-10-09 06:34:20.500;25331,5;2025-10-09 06:36:07.500;25329,5;LONG;25333,5;25329,5;3;1;-2;MODO_1;SL;-2,0;-40,0;1;80,0
2025-10-09 06:36:07.500;25330,0;2025-10-09 06:36:36.500;25332,0;SHORT;25328,0;25332,0;3;2;-1;MODO_1;SL;-2,0;-40,0;1;40,0
2025-10-09 06:36:44.000;25331,5;2025-10-09 06:41:08.000;25333,5;LONG;25333,5;25329,5;3;2;-1;MODO_1;TP;2,0;40,0;1;80,0
2025-10-09 06:43:04.500;25332,25;2025-10-09 06:43:25.500;25334,25;SHORT;25330,25;25334,25;0;2;2;MODO_1;SL;-2,0;-40,0;1;40,0
2025-10-09 06:45:58.500;25335,0;2025-10-09 06:54:01.500;25333,0;LONG;25337,0;25333,0;3;1;-2;MODO_1;SL;-2,0;-40,0;1;0,0
2025-10-09 06:54:20.500;25334,0;2025-10-09 06:55:17.500;25336,0;LONG;25336,0;25332,0;2;1;-1;MODO_1;TP;2,0;40,0;1;40,0
2025-10-09 06:58:12.500;25341,0;2025-10-09 07:00:44.500;25339,0;LONG;25343,0;25339,0;5;0;-5;MODO_1;SL;-2,0;-40,0;1;0,0
2025-10-09 07:01:20.500;25338,0;2025-10-09 07:01:43.000;25336,0;SHORT;25336,0;25340,0;2;7;5;MODO_1;TP;2,0;40,0;1;40,0
2025-10-09 07:01:56.500;25338,0;2025-10-09 07:02:05.000;25340,0;SHORT;25336,0;25340,0;2;7;5;MODO_1;SL;-2,0;-40,0;1;0,0
2025-10-09 07:02:16.500;25340,75;2025-10-09 07:02:50.000;25342,75;LONG;25342,75;25338,75;2;6;4;MODO_1;TP;2,0;40,0;1;40,0
2025-10-09 07:07:00.500;25344,25;2025-10-09 07:07:36.000;25342,25;SHORT;25342,25;25346,25;0;6;6;MODO_1;TP;2,0;40,0;1;80,0
2025-10-09 07:08:47.500;25345,0;2025-10-09 07:10:08.000;25347,0;SHORT;25343,0;25347,0;0;4;4;MODO_1;SL;-2,0;-40,0;1;40,0
2025-10-09 07:11:25.000;25348,75;2025-10-09 07:12:09.000;25350,75;LONG;25350,75;25346,75;2;2;0;MODO_1;TP;2,0;40,0;1;80,0
2025-10-09 07:12:10.500;25349,75;2025-10-09 07:12:23.000;25347,75;SHORT;25347,75;25351,75;2;6;4;MODO_1;TP;2,0;40,0;1;120,0
2025-10-09 07:13:11.500;25347,0;2025-10-09 07:13:43.000;25345,0;SHORT;25345,0;25349,0;1;10;9;MODO_1;TP;2,0;40,0;1;160,0
2025-10-09 07:13:50.500;25345,0;2025-10-09 07:14:14.500;25347,0;SHORT;25343,0;25347,0;1;12;11;MODO_1;SL;-2,0;-40,0;1;120,0
2025-10-09 07:14:17.500;25347,0;2025-10-09 07:19:19.500;25345,0;SHORT;25345,0;25349,0;1;13;12;MODO_1;TP;2,0;40,0;1;160,0
2025-10-09 07:20:00.500;25347,0;2025-10-09 07:21:45.000;25345,0;SHORT;25345,0;25349,0;0;4;4;MODO_1;TP;2,0;40,0;1;200,0
2025-10-09 07:21:48.500;25347,0;2025-10-09 07:25:28.000;25349,0;SHORT;25345,0;25349,0;0;6;6;MODO_1;SL;-2,0;-40,0;1;160,0
2025-10-09 07:27:06.500;25350,0;2025-10-09 07:27:07.500;25348,0;SHORT;25348,0;25352,0;0;1;1;MODO_1;TP;2,0;40,0;1;200,0
2025-10-09 07:28:41.500;25350,0;2025-10-09 07:29:12.000;25352,0;SHORT;25348,0;25352,0;5;6;1;MODO_1;SL;-2,0;-40,0;1;160,0
2025-10-09 07:29:22.000;25352,75;2025-10-09 07:29:29.500;25354,75;LONG;25354,75;25350,75;7;6;-1;MODO_1;TP;2,0;40,0;1;200,0
2025-10-09 07:29:55.500;25360,0;2025-10-09 07:29:57.500;25358,0;SHORT;25358,0;25362,0;11;10;-1;MODO_1;TP;2,0;40,0;1;240,0
2025-10-09 07:29:57.500;25357,75;2025-10-09 07:30:04.500;25359,75;LONG;25359,75;25355,75;11;10;-1;MODO_1;TP;2,0;40,0;1;280,0
2025-10-09 07:30:05.500;25360,0;2025-10-09 07:30:07.500;25362,0;SHORT;25358,0;25362,0;14;10;-4;MODO_1;SL;-2,0;-40,0;1;240,0
2025-10-09 07:30:07.500;25360,0;2025-10-09 07:30:07.500;25362,0;LONG;25362,0;25358,0;14;10;-4;MODO_1;TP;2,0;40,0;1;280,0
2025-10-09 07:30:16.000;25360,0;2025-10-09 07:30:22.000;25362,0;LONG;25362,0;25358,0;14;9;-5;MODO_1;TP;2,0;40,0;1;320,0
2025-10-09 07:30:53.000;25361,0;2025-10-09 07:31:16.500;25359,0;LONG;25363,0;25359,0;14;6;-8;MODO_1;SL;-2,0;-40,0;1;280,0
2025-10-09 07:31:28.500;25360,0;2025-10-09 07:31:38.500;25362,0;LONG;25362,0;25358,0;13;5;-8;MODO_1;TP;2,0;40,0;1;320,0
2025-10-09 07:32:06.000;25360,0;2025-10-09 07:32:13.500;25362,0;LONG;25362,0;25358,0;10;4;-6;MODO_1;TP;2,0;40,0;1;360,0
2025-10-09 07:33:30.500;25360,0;2025-10-09 07:34:18.500;25358,0;LONG;25362,0;25358,0;3;2;-1;MODO_1;SL;-2,0;-40,0;1;320,0
2025-10-09 07:38:47.000;25362,0;2025-10-09 07:39:43.500;25360,0;SHORT;25360,0;25364,0;2;7;5;MODO_1;TP;2,0;40,0;1;360,0
2025-10-09 07:39:46.000;25360,0;2025-10-09 07:40:41.500;25358,0;LONG;25362,0;25358,0;2;10;8;MODO_1;SL;-2,0;-40,0;1;320,0
2025-10-09 07:40:42.000;25358,25;2025-10-09 07:41:39.500;25356,25;SHORT;25356,25;25360,25;2;7;5;MODO_1;TP;2,0;40,0;1;360,0
2025-10-09 07:46:09.000;25347,75;2025-10-09 07:46:29.500;25345,75;LONG;25349,75;25345,75;3;0;-3;MODO_1;SL;-2,0;-40,0;1;320,0
2025-10-09 07:47:13.000;25347,5;2025-10-09 07:48:22.500;25345,5;LONG;25349,5;25345,5;7;2;-5;MODO_1;SL;-2,0;-40,0;1;280,0
2025-10-09 07:48:22.500;25346,0;2025-10-09 07:48:28.000;25344,0;SHORT;25344,0;25348,0;8;2;-6;MODO_1;TP;2,0;40,0;1;320,0
2025-10-09 07:48:28.500;25344,0;2025-10-09 07:49:08.500;25342,0;LONG;25346,0;25342,0;8;2;-6;MODO_1;SL;-2,0;-40,0;1;280,0
2025-10-09 07:49:37.500;25342,75;2025-10-09 07:50:43.000;25344,75;LONG;25344,75;25340,75;4;2;-2;MODO_1;TP;2,0;40,0;1;320,0
2025-10-09 07:51:08.500;25346,0;2025-10-09 07:51:58.000;25344,0;SHORT;25344,0;25348,0;3;7;4;MODO_1;TP;2,0;40,0;1;360,0
2025-10-09 07:52:09.500;25343,75;2025-10-09 07:53:15.000;25345,75;SHORT;25341,75;25345,75;4;9;5;MODO_1;SL;-2,0;-40,0;1;320,0
2025-10-09 07:53:16.000;25346,0;2025-10-09 07:53:20.500;25348,0;LONG;25348,0;25344,0;2;7;5;MODO_1;TP;2,0;40,0;1;360,0
2025-10-09 07:54:22.500;25346,0;2025-10-09 07:56:34.000;25348,0;SHORT;25344,0;25348,0;1;7;6;MODO_1;SL;-2,0;-40,0;1;320,0
2025-10-09 08:01:20.500;25354,0;2025-10-09 08:02:01.000;25356,0;SHORT;25352,0;25356,0;1;6;5;MODO_1;SL;-2,0;-40,0;1;280,0
2025-10-09 08:02:13.500;25355,75;2025-10-09 08:03:04.000;25357,75;SHORT;25353,75;25357,75;5;8;3;MODO_1;SL;-2,0;-40,0;1;240,0
2025-10-09 08:03:06.000;25358,0;2025-10-09 08:03:34.000;25360,0;SHORT;25356,0;25360,0;8;5;-3;MODO_1;SL;-2,0;-40,0;1;200,0
2025-10-09 08:04:34.500;25359,25;2025-10-09 08:04:59.000;25361,25;LONG;25361,25;25357,25;7;2;-5;MODO_1;TP;2,0;40,0;1;240,0
2025-10-09 08:05:10.500;25363,25;2025-10-09 08:05:17.500;25361,25;LONG;25365,25;25361,25;6;0;-6;MODO_1;SL;-2,0;-40,0;1;200,0
2025-10-09 08:05:21.500;25359,25;2025-10-09 08:05:31.000;25361,25;LONG;25361,25;25357,25;6;1;-5;MODO_1;TP;2,0;40,0;1;240,0
2025-10-09 08:06:50.500;25365,0;2025-10-09 08:07:24.000;25363,0;SHORT;25363,0;25367,0;2;8;6;MODO_1;TP;2,0;40,0;1;280,0
