candle_index;timestamp;price;type;direction;confirmed;preview_tick_index;fractal_tick_index;preview_minutes
2;2025-10-24 13:38:00;25371,75;PICO;up;True;11;44;1
2;2025-10-24 13:38:00;25368,25;VALLE;down;True;11;44;1
4;2025-10-24 13:40:00;25374,25;PICO;up;True;104;227;1
4;2025-10-24 13:40:00;25369,75;VALLE;down;True;104;227;1
5;2025-10-24 13:41:00;25376,5;PICO;up;True;228;326;1
8;2025-10-24 13:44:00;25368,25;VALLE;down;True;493;530;1
10;2025-10-24 13:46:00;25374,25;PICO;up;True;553;636;1
12;2025-10-24 13:48:00;25369,0;VALLE;down;True;683;719;1
13;2025-10-24 13:49:00;25373,25;PICO;up;True;720;777;1
14;2025-10-24 13:50:00;25369,0;VALLE;down;True;778;808;1
14;2025-10-24 13:50:00;25377,0;PICO;up;True;778;808;1
15;2025-10-24 13:51:00;25371,25;VALLE;down;True;809;956;1
17;2025-10-24 13:53:00;25377,75;PICO;up;True;1038;1098;1
17;2025-10-24 13:53:00;25374,75;VALLE;down;True;1038;1098;1
19;2025-10-24 13:55:00;25385,5;PICO;up;True;1184;1235;1
19;2025-10-24 13:55:00;25379,25;VALLE;down;True;1184;1235;1
20;2025-10-24 13:56:00;25386,25;PICO;up;True;1236;1516;1
22;2025-10-24 13:58:00;25373,75;VALLE;down;True;1638;1908;1
22;2025-10-24 13:58:00;25380,75;PICO;up;True;1638;1908;1
23;2025-10-24 13:59:00;25371,5;VALLE;down;True;1909;1964;1
25;2025-10-24 14:01:00;25377,75;PICO;up;True;2034;2148;1
26;2025-10-24 14:02:00;25371,75;VALLE;down;True;2149;2237;1
28;2025-10-24 14:04:00;25378,75;PICO;up;True;2365;2413;1
28;2025-10-24 14:04:00;25376,0;VALLE;down;True;2365;2413;1
31;2025-10-24 14:07:00;25384,25;PICO;up;True;2600;2707;1
32;2025-10-24 14:08:00;25379,25;VALLE;down;True;2708;2801;1
32;2025-10-24 14:08:00;25382,5;PICO;up;True;2708;2801;1
35;2025-10-24 14:11:00;25374,75;VALLE;down;True;2927;3007;1
36;2025-10-24 14:12:00;25380,25;PICO;up;True;3008;3114;1
37;2025-10-24 14:13:00;25375,25;VALLE;down;True;3115;3243;1
37;2025-10-24 14:13:00;25379,0;PICO;up;True;3115;3243;1
39;2025-10-24 14:15:00;25370,5;VALLE;down;True;3351;3415;1
39;2025-10-24 14:15:00;25375,75;PICO;up;True;3351;3415;1
41;2025-10-24 14:17:00;25367,75;VALLE;down;True;3620;3683;1
43;2025-10-24 14:19:00;25373,25;PICO;up;True;3842;3921;1
46;2025-10-24 14:22:00;25368,0;VALLE;down;True;4186;4263;1
46;2025-10-24 14:22:00;25371,5;PICO;up;True;4186;4263;1
47;2025-10-24 14:23:00;25364,5;VALLE;down;True;4264;4382;1
48;2025-10-24 14:24:00;25368,25;PICO;up;True;4383;4547;1
49;2025-10-24 14:25:00;25364,25;VALLE;down;True;4548;4665;1
51;2025-10-24 14:27:00;25374,5;PICO;up;True;4785;4916;1
51;2025-10-24 14:27:00;25366,5;VALLE;down;True;4785;4916;1
53;2025-10-24 14:29:00;25379,0;PICO;up;True;5130;5364;1
54;2025-10-24 14:30:00;25344,0;VALLE;down;True;5365;5599;1
55;2025-10-24 14:31:00;25523,25;PICO;up;True;5600;9044;1
55;2025-10-24 14:31:00;25494,25;VALLE;down;True;5600;9044;1
56;2025-10-24 14:32:00;25522,25;PICO;up;True;9045;10915;1
58;2025-10-24 14:34:00;25477,75;VALLE;down;True;12481;14060;1
58;2025-10-24 14:34:00;25504,5;PICO;up;True;12481;14060;1
59;2025-10-24 14:35:00;25472,0;VALLE;down;True;14061;15004;1
61;2025-10-24 14:37:00;25507,0;PICO;up;True;16084;16899;1
62;2025-10-24 14:38:00;25472,5;VALLE;down;True;16900;17845;1
62;2025-10-24 14:38:00;25488,25;PICO;up;True;16900;17845;1
64;2025-10-24 14:40:00;25461,5;VALLE;down;True;18571;19233;1
64;2025-10-24 14:40:00;25483,5;PICO;up;True;18571;19233;1
65;2025-10-24 14:41:00;25453,75;VALLE;down;True;19234;20083;1
67;2025-10-24 14:43:00;25474,0;PICO;up;True;20816;21699;1
68;2025-10-24 14:44:00;25460,0;VALLE;down;True;21699;22107;1
69;2025-10-24 14:45:00;25479,5;PICO;up;True;22108;22681;1
69;2025-10-24 14:45:00;25471,25;VALLE;down;True;22108;22681;1
70;2025-10-24 14:46:00;25487,5;PICO;up;True;22682;23120;1
72;2025-10-24 14:48:00;25467,75;VALLE;down;True;23807;24148;1
73;2025-10-24 14:49:00;25480,25;PICO;up;True;24149;24521;1
73;2025-10-24 14:49:00;25471,25;VALLE;down;True;24149;24521;1
74;2025-10-24 14:50:00;25480,75;PICO;up;True;24522;24899;1
75;2025-10-24 14:51:00;25470,5;VALLE;down;True;24900;25197;1
76;2025-10-24 14:52:00;25482,0;PICO;up;True;25198;25393;1
77;2025-10-24 14:53:00;25454,0;VALLE;down;True;25394;25711;1
79;2025-10-24 14:55:00;25466,5;PICO;up;True;26451;26779;1
80;2025-10-24 14:56:00;25454,25;VALLE;down;True;26780;27081;1
80;2025-10-24 14:56:00;25463,0;PICO;up;True;26780;27081;1
82;2025-10-24 14:58:00;25446,25;VALLE;down;True;27298;27609;1
83;2025-10-24 14:59:00;25458,5;PICO;up;True;27610;28217;1
83;2025-10-24 14:59:00;25451,75;VALLE;down;True;27610;28217;1
85;2025-10-24 15:01:00;25464,0;PICO;up;True;28436;28833;1
85;2025-10-24 15:01:00;25455,0;VALLE;down;True;28436;28833;1
87;2025-10-24 15:03:00;25468,25;PICO;up;True;29125;29484;1
87;2025-10-24 15:03:00;25461,5;VALLE;down;True;29125;29484;1
89;2025-10-24 15:05:00;25472,75;PICO;up;True;29835;30159;1
90;2025-10-24 15:06:00;25467,25;VALLE;down;True;30160;30480;1
90;2025-10-24 15:06:00;25473,0;PICO;up;True;30160;30480;1
91;2025-10-24 15:07:00;25467,5;VALLE;down;True;30481;30937;1
93;2025-10-24 15:09:00;25476,5;PICO;up;True;31188;31412;1
93;2025-10-24 15:09:00;25471,5;VALLE;down;True;31188;31412;1
94;2025-10-24 15:10:00;25479,0;PICO;up;True;31413;31621;1
96;2025-10-24 15:12:00;25468,5;VALLE;down;True;31930;32022;1
96;2025-10-24 15:12:00;25478,25;PICO;up;True;31930;32022;1
97;2025-10-24 15:13:00;25467,0;VALLE;down;True;32023;32720;1
99;2025-10-24 15:15:00;25481,5;PICO;up;True;32939;33184;1
100;2025-10-24 15:16:00;25470,75;VALLE;down;True;33185;33518;1
100;2025-10-24 15:16:00;25480,5;PICO;up;True;33185;33518;1
101;2025-10-24 15:17:00;25470,5;VALLE;down;True;33519;33881;1
102;2025-10-24 15:18:00;25477,25;PICO;up;True;33882;34036;1
103;2025-10-24 15:19:00;25468,75;VALLE;down;True;34037;34190;1
105;2025-10-24 15:21:00;25488,75;PICO;up;True;34451;34948;1
105;2025-10-24 15:21:00;25482,5;VALLE;down;True;34451;34948;1
106;2025-10-24 15:22:00;25493,5;PICO;up;True;34949;35473;1
108;2025-10-24 15:24:00;25484,5;VALLE;down;True;35871;36154;1
108;2025-10-24 15:24:00;25492,5;PICO;up;True;35871;36154;1
110;2025-10-24 15:26:00;25474,25;VALLE;down;True;36510;37167;1
111;2025-10-24 15:27:00;25479,75;PICO;up;True;37168;37558;1
112;2025-10-24 15:28:00;25465,25;VALLE;down;True;37559;37945;1
112;2025-10-24 15:28:00;25477,0;PICO;up;True;37559;37945;1
114;2025-10-24 15:30:00;25433,25;VALLE;down;True;38715;39293;1
114;2025-10-24 15:30:00;25467,25;PICO;up;True;38715;39293;1
115;2025-10-24 15:31:00;25429,75;VALLE;down;True;39294;43773;1
117;2025-10-24 15:33:00;25472,75;PICO;up;True;47042;49294;1
117;2025-10-24 15:33:00;25461,75;VALLE;down;True;47042;49294;1
