entry_time;entry_price;exit_time;exit_price;side;tp_price;sl_price;entry_bid_density;entry_ask_density;entry_net_density;filter_mode;resultado;profit_points;profit_dollars;contracts;cumulative_profit
2025-10-09 06:36:07.500;25330,0;2025-10-09 06:36:36.500;25332,0;SHORT;25328,0;25332,0;0;1;1;MODO_1;SL;-2,0;-40,0;1;-40,0
2025-10-09 07:02:30.500;25340,5;2025-10-09 07:02:50.000;25342,5;SHORT;25338,5;25342,5;0;2;2;MODO_1;SL;-2,0;-40,0;1;-80,0
2025-10-09 07:30:05.500;25360,0;2025-10-09 07:30:07.500;25362,0;SHORT;25358,0;25362,0;4;3;-1;MODO_1;SL;-2,0;-40,0;1;-120,0
2025-10-09 07:30:16.500;25360,0;2025-10-09 07:30:22.000;25362,0;LONG;25362,0;25358,0;4;3;-1;MODO_1;TP;2,0;40,0;1;-80,0
2025-10-09 07:31:28.500;25360,0;2025-10-09 07:31:38.500;25362,0;LONG;25362,0;25358,0;6;1;-5;MODO_1;TP;2,0;40,0;1;-40,0
2025-10-09 07:32:12.000;25360,0;2025-10-09 07:32:13.500;25362,0;LONG;25362,0;25358,0;3;0;-3;MODO_1;TP;2,0;40,0;1;0,0
2025-10-09 07:39:02.000;25362,0;2025-10-09 07:39:43.500;25360,0;SHORT;25360,0;25364,0;0;1;1;MODO_1;TP;2,0;40,0;1;40,0
2025-10-09 07:46:14.500;25347,75;2025-10-09 07:46:29.500;25345,75;LONG;25349,75;25345,75;1;0;-1;MODO_1;SL;-2,0;-40,0;1;0,0
2025-10-09 08:03:06.000;25358,0;2025-10-09 08:03:34.000;25360,0;SHORT;25356,0;25360,0;0;1;1;MODO_1;SL;-2,0;-40,0;1;-40,0
2025-10-09 08:05:21.500;25359,25;2025-10-09 08:05:31.000;25361,25;LONG;25361,25;25357,25;1;0;-1;MODO_1;TP;2,0;40,0;1;0,0
2025-10-09 08:11:10.000;25362,0;2025-10-09 08:11:20.000;25360,0;SHORT;25360,0;25364,0;0;1;1;MODO_1;TP;2,0;40,0;1;40,0
2025-10-09 08:27:27.000;25348,0;2025-10-09 08:28:12.500;25350,0;LONG;25350,0;25346,0;2;0;-2;MODO_1;TP;2,0;40,0;1;80,0
2025-10-09 08:49:21.000;25341,75;2025-10-09 08:49:24.500;25339,75;LONG;25343,75;25339,75;2;0;-2;MODO_1;SL;-2,0;-40,0;1;40,0
2025-10-09 08:50:38.000;25335,0;2025-10-09 08:50:41.000;25337,0;LONG;25337,0;25333,0;2;0;-2;MODO_1;TP;2,0;40,0;1;80,0
2025-10-09 08:56:08.000;25328,0;2025-10-09 08:56:47.500;25330,0;SHORT;25326,0;25330,0;0;1;1;MODO_1;SL;-2,0;-40,0;1;40,0
2025-10-09 09:01:23.500;25342,0;2025-10-09 09:01:27.500;25340,0;SHORT;25340,0;25344,0;0;1;1;MODO_1;TP;2,0;40,0;1;80,0
2025-10-09 09:03:01.500;25343,5;2025-10-09 09:03:20.500;25345,5;LONG;25345,5;25341,5;5;2;-3;MODO_1;TP;2,0;40,0;1;120,0
2025-10-09 09:03:27.500;25345,0;2025-10-09 09:03:31.000;25347,0;LONG;25347,0;25343,0;5;2;-3;MODO_1;TP;2,0;40,0;1;160,0
2025-10-09 09:10:08.000;25342,5;2025-10-09 09:10:12.500;25340,5;SHORT;25340,5;25344,5;0;1;1;MODO_1;TP;2,0;40,0;1;200,0
2025-10-09 09:13:32.500;25344,75;2025-10-09 09:13:42.500;25346,75;LONG;25346,75;25342,75;1;0;-1;MODO_1;TP;2,0;40,0;1;240,0
2025-10-09 09:24:00.000;25338,25;2025-10-09 09:24:01.500;25336,25;SHORT;25336,25;25340,25;0;1;1;MODO_1;TP;2,0;40,0;1;280,0
2025-10-09 09:27:11.500;25336,5;2025-10-09 09:28:14.500;25334,5;SHORT;25334,5;25338,5;0;2;2;MODO_1;TP;2,0;40,0;1;320,0
2025-10-09 09:30:41.000;25333,75;2025-10-09 09:30:47.000;25331,75;SHORT;25331,75;25335,75;0;2;2;MODO_1;TP;2,0;40,0;1;360,0
2025-10-09 09:31:21.500;25329,75;2025-10-09 09:32:00.500;25331,75;SHORT;25327,75;25331,75;0;3;3;MODO_1;SL;-2,0;-40,0;1;320,0
2025-10-09 09:32:26.500;25330,5;2025-10-09 09:32:55.500;25328,5;SHORT;25328,5;25332,5;0;2;2;MODO_1;TP;2,0;40,0;1;360,0
2025-10-09 10:11:05.500;25335,25;2025-10-09 10:11:27.500;25333,25;SHORT;25333,25;25337,25;0;2;2;MODO_1;TP;2,0;40,0;1;400,0
2025-10-09 10:13:48.500;25329,0;2025-10-09 10:13:51.000;25327,0;SHORT;25327,0;25331,0;2;3;1;MODO_1;TP;2,0;40,0;1;440,0
2025-10-09 10:14:43.000;25318,5;2025-10-09 10:14:52.500;25320,5;SHORT;25316,5;25320,5;3;5;2;MODO_1;SL;-2,0;-40,0;1;400,0
2025-10-09 10:15:25.000;25318,0;2025-10-09 10:15:28.000;25316,0;LONG;25320,0;25316,0;3;3;0;MODO_1;SL;-2,0;-40,0;1;360,0
2025-10-09 10:15:55.500;25314,0;2025-10-09 10:16:16.000;25312,0;SHORT;25312,0;25316,0;3;3;0;MODO_1;TP;2,0;40,0;1;400,0
2025-10-09 10:18:41.500;25318,5;2025-10-09 10:19:13.500;25320,5;LONG;25320,5;25316,5;1;1;0;MODO_1;TP;2,0;40,0;1;440,0
2025-10-09 10:21:50.000;25327,5;2025-10-09 10:21:51.500;25329,5;LONG;25329,5;25325,5;1;0;-1;MODO_1;TP;2,0;40,0;1;480,0
2025-10-09 10:24:03.000;25326,5;2025-10-09 10:25:12.500;25324,5;SHORT;25324,5;25328,5;1;3;2;MODO_1;TP;2,0;40,0;1;520,0
2025-10-09 10:25:53.000;25325,25;2025-10-09 10:25:59.000;25323,25;SHORT;25323,25;25327,25;0;3;3;MODO_1;TP;2,0;40,0;1;560,0
2025-10-09 10:32:17.500;25321,0;2025-10-09 10:32:57.500;25319,0;LONG;25323,0;25319,0;1;0;-1;MODO_1;SL;-2,0;-40,0;1;520,0
2025-10-09 10:34:26.000;25315,75;2025-10-09 10:34:31.500;25317,75;SHORT;25313,75;25317,75;1;3;2;MODO_1;SL;-2,0;-40,0;1;480,0
2025-10-09 10:34:38.000;25315,5;2025-10-09 10:34:58.500;25313,5;SHORT;25313,5;25317,5;1;3;2;MODO_1;TP;2,0;40,0;1;520,0
2025-10-09 10:37:21.000;25311,0;2025-10-09 10:38:13.500;25313,0;SHORT;25309,0;25313,0;0;7;7;MODO_1;SL;-2,0;-40,0;1;480,0
2025-10-09 10:41:09.000;25307,0;2025-10-09 10:41:13.000;25305,0;SHORT;25305,0;25309,0;6;9;3;MODO_1;TP;2,0;40,0;1;520,0
2025-10-09 10:41:20.500;25305,0;2025-10-09 10:41:24.500;25307,0;LONG;25307,0;25303,0;6;10;4;MODO_1;TP;2,0;40,0;1;560,0
2025-10-09 10:41:53.000;25305,0;2025-10-09 10:42:13.000;25307,0;LONG;25307,0;25303,0;6;11;5;MODO_1;TP;2,0;40,0;1;600,0
2025-10-09 10:42:43.000;25303,75;2025-10-09 10:43:28.000;25301,75;SHORT;25301,75;25305,75;9;4;-5;MODO_1;TP;2,0;40,0;1;640,0
2025-10-09 10:43:41.500;25300,0;2025-10-09 10:43:46.500;25302,0;LONG;25302,0;25298,0;3;4;1;MODO_1;TP;2,0;40,0;1;680,0
2025-10-09 10:44:00.000;25300,0;2025-10-09 10:44:02.500;25302,0;LONG;25302,0;25298,0;3;4;1;MODO_1;TP;2,0;40,0;1;720,0
2025-10-09 10:44:48.000;25301,75;2025-10-09 10:44:55.000;25303,75;SHORT;25299,75;25303,75;3;1;-2;MODO_1;SL;-2,0;-40,0;1;680,0
2025-10-09 10:50:13.000;25298,5;2025-10-09 10:50:16.000;25300,5;LONG;25300,5;25296,5;3;4;1;MODO_1;TP;2,0;40,0;1;720,0
2025-10-09 10:50:30.000;25300,25;2025-10-09 10:50:30.500;25298,25;SHORT;25298,25;25302,25;3;4;1;MODO_1;TP;2,0;40,0;1;760,0
2025-10-09 10:50:39.000;25300,25;2025-10-09 10:50:40.500;25298,25;SHORT;25298,25;25302,25;3;4;1;MODO_1;TP;2,0;40,0;1;800,0
2025-10-09 10:50:43.500;25298,5;2025-10-09 10:51:35.000;25300,5;LONG;25300,5;25296,5;3;4;1;MODO_1;TP;2,0;40,0;1;840,0
2025-10-09 10:54:14.500;25300,0;2025-10-09 10:54:16.500;25298,0;SHORT;25298,0;25302,0;0;1;1;MODO_1;TP;2,0;40,0;1;880,0
2025-10-09 10:56:52.000;25303,0;2025-10-09 10:57:01.500;25301,0;SHORT;25301,0;25305,0;0;1;1;MODO_1;TP;2,0;40,0;1;920,0
2025-10-09 11:01:00.000;25298,0;2025-10-09 11:01:08.000;25300,0;LONG;25300,0;25296,0;1;2;1;MODO_1;TP;2,0;40,0;1;960,0
2025-10-09 11:01:39.500;25300,0;2025-10-09 11:02:05.500;25298,0;SHORT;25298,0;25302,0;1;2;1;MODO_1;TP;2,0;40,0;1;1000,0
2025-10-09 11:05:33.000;25300,0;2025-10-09 11:06:15.500;25302,0;SHORT;25298,0;25302,0;1;5;4;MODO_1;SL;-2,0;-40,0;1;960,0
