entry_time;entry_price;exit_time;exit_price;side;entry_signal;tp_price;sl_price;exit_reason;profit_points;profit_dollars;contracts;equity
2025-09-18 00:51:13.284;24560,75;2025-09-18 00:51:19.940;24563,75;LONG;d_shape;24563,75;24559,25;TARGET;3,0;60,0;1;60,0
2025-09-18 13:12:19.104;24750,75;2025-09-18 13:12:20.748;24747,75;SHORT;p_shape;24747,75;24752,25;TARGET;3,0;60,0;1;120,0
2025-09-18 13:16:09.464;24751,0;2025-09-18 13:16:21.992;24748,0;SHORT;p_shape;24748,0;24752,5;TARGET;3,0;60,0;1;180,0
2025-09-18 14:00:02.968;24740,25;2025-09-18 14:00:06.748;24743,25;LONG;d_shape;24743,25;24738,75;TARGET;3,0;60,0;1;240,0
2025-09-18 15:33:22.860;24703,5;2025-09-18 15:33:22.860;24705,0;SHORT;p_shape;24700,5;24705,0;STOP;-1,5;-30,0;1;210,0
2025-09-18 15:50:11.436;24676,75;2025-09-18 15:50:11.876;24678,25;SHORT;p_shape;24673,75;24678,25;STOP;-1,5;-30,0;1;180,0
2025-09-18 17:17:03.276;24787,5;2025-09-18 17:17:05.788;24789,0;SHORT;p_shape;24784,5;24789,0;STOP;-1,5;-30,0;1;150,0
2025-09-18 18:14:31.152;24752,0;2025-09-18 18:14:40.132;24755,0;LONG;d_shape;24755,0;24750,5;TARGET;3,0;60,0;1;210,0
2025-09-18 18:20:57.356;24753,75;2025-09-18 18:21:12.036;24756,75;LONG;d_shape;24756,75;24752,25;TARGET;3,0;60,0;1;270,0
2025-09-18 18:58:47.900;24791,0;2025-09-18 18:58:58.932;24788,0;SHORT;p_shape;24788,0;24792,5;TARGET;3,0;60,0;1;330,0
2025-09-18 19:12:26.960;24787,5;2025-09-18 19:12:40.896;24786,0;LONG;d_shape;24790,5;24786,0;STOP;-1,5;-30,0;1;300,0
2025-09-18 19:34:41.516;24748,5;2025-09-18 19:34:45.108;24751,5;LONG;d_shape;24751,5;24747,0;TARGET;3,0;60,0;1;360,0
2025-09-18 20:01:36.092;24733,25;2025-09-18 20:01:44.904;24731,75;LONG;d_shape;24736,25;24731,75;STOP;-1,5;-30,0;1;330,0
2025-09-18 20:22:54.332;24740,5;2025-09-18 20:23:07.872;24737,5;SHORT;p_shape;24737,5;24742,0;TARGET;3,0;60,0;1;390,0
2025-09-18 20:27:25.908;24746,5;2025-09-18 20:27:31.408;24748,0;SHORT;p_shape;24743,5;24748,0;STOP;-1,5;-30,0;1;360,0
2025-09-18 20:32:30.664;24745,75;2025-09-18 20:32:31.768;24742,75;SHORT;p_shape;24742,75;24747,25;TARGET;3,0;60,0;1;420,0
2025-09-18 20:34:36.404;24747,0;2025-09-18 20:34:54.188;24748,5;SHORT;p_shape;24744,0;24748,5;STOP;-1,5;-30,0;1;390,0
2025-09-18 20:45:24.808;24733,75;2025-09-18 20:45:44.124;24735,25;SHORT;p_shape;24730,75;24735,25;STOP;-1,5;-30,0;1;360,0
2025-09-18 20:51:03.688;24755,25;2025-09-18 20:51:24.840;24756,75;SHORT;p_shape;24752,25;24756,75;STOP;-1,5;-30,0;1;330,0
2025-09-18 20:52:40.396;24761,0;2025-09-18 20:52:52.860;24758,0;SHORT;p_shape;24758,0;24762,5;TARGET;3,0;60,0;1;390,0
2025-09-18 20:53:51.220;24761,75;2025-09-18 20:54:07.024;24758,75;SHORT;p_shape;24758,75;24763,25;TARGET;3,0;60,0;1;450,0
2025-09-18 21:07:42.264;24751,75;2025-09-18 21:07:42.832;24753,25;SHORT;p_shape;24748,75;24753,25;STOP;-1,5;-30,0;1;420,0
2025-09-18 21:09:37.312;24753,75;2025-09-18 21:09:40.020;24755,25;SHORT;p_shape;24750,75;24755,25;STOP;-1,5;-30,0;1;390,0
2025-09-18 21:52:08.096;24721,5;2025-09-18 21:52:17.588;24718,5;SHORT;p_shape;24718,5;24723,0;TARGET;3,0;60,0;1;450,0
