Timestamp;Precio;Volumen;Lado;Bid;Ask
2025-09-15 06:00:00.404;24359,5;1;BID;24359,25;24360,0
2025-09-15 06:00:00.656;24359,5;1;BID;24359,25;24360,0
2025-09-15 06:00:01.484;24359,25;1;ASK;24359,0;24359,5
2025-09-15 06:00:04.548;24359,5;1;BID;24359,5;24360,0
2025-09-15 06:00:04.548;24359,5;1;BID;24359,5;24360,0
2025-09-15 06:00:32.532;24359,75;1;ASK;24359,25;24359,75
2025-09-15 06:00:33.208;24359,75;1;BID;24359,75;24360,5
2025-09-15 06:00:33.208;24359,75;1;BID;24359,75;24360,5
2025-09-15 06:00:50.236;24359,75;1;BID;24359,5;24360,25
2025-09-15 06:00:50.236;24359,75;1;BID;24359,5;24360,25
2025-09-15 06:00:52.776;24359,5;1;BID;24359,25;24360,0
2025-09-15 06:00:52.776;24359,5;1;BID;24359,25;24360,0
2025-09-15 06:00:52.776;24359,25;1;BID;24359,25;24360,0
2025-09-15 06:01:00.040;24360,0;1;BID;24360,5;24361,0
2025-09-15 06:01:00.772;24360,25;1;BID;24360,5;24361,0
2025-09-15 06:01:00.772;24360,5;2;BID;24360,5;24361,0
2025-09-15 06:01:00.772;24360,5;2;BID;24360,5;24361,0
2025-09-15 06:01:03.076;24360,25;1;ASK;24359,75;24360,5
2025-09-15 06:01:15.352;24359,0;1;ASK;24358,75;24359,25
2025-09-15 06:01:15.352;24358,75;1;BID;24358,75;24359,25
2025-09-15 06:01:15.352;24359,0;1;ASK;24358,75;24359,25
2025-09-15 06:01:15.352;24358,75;1;BID;24358,75;24359,25
2025-09-15 06:01:16.448;24359,25;1;ASK;24358,75;24359,5
2025-09-15 06:01:16.448;24359,25;1;ASK;24358,75;24359,5
2025-09-15 06:01:16.448;24359,5;1;ASK;24358,75;24359,5
2025-09-15 06:01:16.448;24359,5;1;ASK;24358,75;24359,5
2025-09-15 06:01:24.312;24359,25;1;BID;24359,0;24359,75
2025-09-15 06:01:44.224;24360,0;1;BID;24360,0;24360,75
2025-09-15 06:01:44.224;24360,25;1;BID;24360,0;24360,75
2025-09-15 06:01:58.004;24360,25;1;BID;24360,0;24360,75
2025-09-15 06:02:11.528;24361,0;1;ASK;24360,0;24360,75
2025-09-15 06:02:12.876;24360,5;1;ASK;24360,0;24360,75
2025-09-15 06:02:32.036;24360,0;1;ASK;24359,5;24360,25
2025-09-15 06:02:45.564;24360,0;1;BID;24360,5;24361,0
