Timestamp;Precio;Volumen;Lado;Bid;Ask
2025-09-15 15:58:43.076;24495,5;1;BID;24495,75;24496,5
2025-09-15 15:58:43.112;24495,75;1;BID;24495,75;24496,5
2025-09-15 15:58:43.204;24496,0;1;BID;24495,75;24496,5
2025-09-15 15:58:43.204;24496,0;1;BID;24495,75;24496,5
2025-09-15 15:58:43.204;24496,0;1;BID;24495,75;24496,5
2025-09-15 15:58:43.204;24496,25;1;ASK;24495,75;24496,5
2025-09-15 15:58:43.204;24496,25;1;ASK;24495,75;24496,5
2025-09-15 15:58:43.204;24496,25;1;ASK;24495,75;24496,5
2025-09-15 15:58:43.780;24496,0;1;BID;24495,75;24496,5
2025-09-15 15:58:43.856;24496,0;1;BID;24495,75;24496,5
2025-09-15 15:58:44.216;24496,0;1;BID;24496,0;24496,5
2025-09-15 15:58:44.420;24496,0;1;BID;24496,0;24496,5
2025-09-15 15:58:44.428;24496,0;1;BID;24496,0;24496,5
2025-09-15 15:58:44.916;24496,75;2;ASK;24496,0;24496,5
2025-09-15 15:58:44.916;24496,75;1;ASK;24496,0;24496,5
2025-09-15 15:58:44.916;24496,75;1;ASK;24496,0;24496,5
2025-09-15 15:58:44.916;24496,75;1;ASK;24496,0;24496,5
2025-09-15 15:58:44.924;24496,75;1;ASK;24496,0;24496,5
2025-09-15 15:58:45.128;24496,5;1;BID;24496,75;24497,25
2025-09-15 15:58:45.132;24496,5;1;BID;24496,75;24497,25
2025-09-15 15:58:45.144;24496,5;1;BID;24496,75;24497,25
2025-09-15 15:58:45.152;24496,5;1;BID;24496,75;24497,25
2025-09-15 15:58:45.324;24496,75;1;BID;24496,75;24497,25
2025-09-15 15:58:45.408;24497,0;1;ASK;24496,75;24497,25
2025-09-15 15:58:45.552;24496,75;1;BID;24496,75;24497,25
2025-09-15 15:58:45.552;24496,75;1;BID;24496,75;24497,25
2025-09-15 15:58:45.552;24496,75;1;BID;24496,75;24497,25
2025-09-15 15:58:46.024;24496,75;1;ASK;24496,0;24496,5
2025-09-15 15:58:46.056;24497,25;1;ASK;24496,0;24496,5
2025-09-15 15:58:46.156;24497,0;1;ASK;24496,0;24496,5
2025-09-15 15:58:46.156;24497,0;1;ASK;24496,0;24496,5
2025-09-15 15:58:47.116;24496,25;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.116;24496,25;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.120;24496,0;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.228;24496,25;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.408;24496,25;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.408;24496,5;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.408;24496,5;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.408;24496,25;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.736;24496,0;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.736;24495,75;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.736;24495,75;1;ASK;24495,5;24496,0
2025-09-15 15:58:47.736;24495,5;1;BID;24495,5;24496,0
2025-09-15 15:58:47.736;24495,5;1;BID;24495,5;24496,0
2025-09-15 15:58:47.736;24495,5;1;BID;24495,5;24496,0
2025-09-15 15:58:47.736;24495,5;1;BID;24495,5;24496,0
2025-09-15 15:58:47.736;24495,5;1;BID;24495,5;24496,0
2025-09-15 15:58:47.736;24495,25;1;BID;24495,5;24496,0
2025-09-15 15:58:47.736;24495,25;1;BID;24495,5;24496,0
2025-09-15 15:58:47.736;24495,25;1;BID;24495,5;24496,0
2025-09-15 15:58:47.748;24495,25;1;BID;24495,5;24496,0
